geometry,address
POINT (-97.7721287180014 30.275989600000003),"Deep Eddy Community Garden, 300 1/2, Atlanta Drive, 78703, Atlanta Drive, Austin, TX, United States"
POINT (-97.74988182702026 30.29978555),"1202, West 29th Street, 78705, West 29th Street, Austin, TX, United States"
POINT EMPTY,
POINT (-97.71761695578586 30.28429785),"The Vortex Parking Lot, Maple Avenue, 78722, Maple Avenue, Austin, TX, United States"
POINT (-97.73491619622703 30.25372825),"Festival Beach Community Garden, 35, Waller Street, 78702, Waller Street, Austin, TX, United States"
POINT (-95.31525779154208 29.71419685),"Murphy USA, 2401, South Wayside Drive, 77023, South Wayside Drive, Houston, TX, United States"
POINT EMPTY,
POINT (-95.44136686657646 29.6526956),"Premier Salvage, 100, Holmes Road, 77045, Holmes Road, Houston, TX, United States"
POINT (-95.376661 29.844192999999997),"108, Vandell Street, 77022, Vandell Street, Houston, TX, United States"
POINT EMPTY,
POINT (-122.6832439 45.5229404),"West Burnside Street, 97209, Portland, Oregon, United States"
POINT (-122.6779802 45.5253031),"709, Northwest Everett Street, 97209, Northwest Everett Street, Portland, Oregon, United States"
POINT (-122.63945852586393 45.526046550000004),"2545, Northeast Flanders Street, 97232, Northeast Flanders Street, Portland, Oregon, United States"
POINT (-122.6781525 45.5232118),"Old Town Clinic, 727, West Burnside Street, 97209, West Burnside Street, Portland, OR, United States"
POINT (-122.6777175 45.5236118),"Old Town Recovery Center, 33, Northwest Broadway, 97209, Northwest Broadway, Portland, OR, United States"
POINT (-122.6839401987344 45.52556465),"Room & Board, 380, Northwest 13th Avenue, 97209, Northwest 13th Avenue, Portland, OR, United States"
POINT (-122.67546052697634 45.521669349999996),"Lincoln Building, 421, Southwest Oak Street, 97204, Southwest Oak Street, Portland, OR, United States"
POINT (-122.6908926511274 45.517257799999996),"NARA Outpatient Treatment Services, 1631, Southwest Columbia Street, 97201, Southwest Columbia Street, Portland, OR, United States"
POINT (-122.73080452710909 45.5528764),"La Quinta Inn & Suites Portland NW, Northwest Saint Helens Road, 97210, Northwest Saint Helens Road, Portland, OR, United States"
POINT (-122.6509691 45.5046722),"NARA, 1438, Southeast Division Street, 97202, Southeast Division Street, Portland, OR, United States"
POINT (-122.69204620617408 45.5184255),"Native American Rehabilitation Association of the Northwest, 1776, Southwest Madison Street, 97205, Southwest Madison Street, Portland, OR, United States"
POINT (-122.78977034279372 45.4961164),"3295, Southwest 110th Avenue, 97005, Southwest 110th Avenue, Beaverton, OR, United States"
POINT (-122.91176717549925 45.491305749999995),"3961, Southeast 68th Avenue, 97123, Southeast 68th Avenue, Hillsboro, OR, United States"
POINT EMPTY,
POINT (-122.96930921339435 45.5206671),"Montebello Apartments, 220, Southeast 12th Avenue, 97123, Southeast 12th Avenue, Hillsboro, OR, United States"
POINT (-123.88483951507321 45.686173999999994),"The Rinehart Clinic, 230, Rowe Street, 97147, Rowe Street, Wheeler, Oregon, United States"
POINT EMPTY,
POINT (-123.943147 45.613598),"Rockaway Beach, 97136, Oregon, United States"
POINT (-123.8810856 45.5191599),"Tillamook Avenue, 97118, Bay City, Oregon, United States"
POINT EMPTY,
POINT (-123.12077194407499 45.53514975),"Forest Grove High School, 1401, Nichols Lane, 97116, Nichols Lane, Forest Grove, OR, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-122.97897288455727 45.54163455),"730, Northeast Tipton Court, 97124, Northeast Tipton Court, Hillsboro, Oregon, United States"
POINT (-122.8060378 45.4909558),"Beaverton Dental @ the Round, 12600, Southwest Crescent Street, 97005, Southwest Crescent Street, Beaverton, OR, United States"
POINT (-122.82600391997907 45.5181256),"200, Southwest Meadow Drive, 97006, Southwest Meadow Drive, Beaverton, OR, United States"
POINT (-123.05763295533865 45.5206736),"Virginia Garcia Cornelius Wellness Center, 1151, North Adair Street, 97113, North Adair Street, Cornelius, OR, United States"
POINT (-122.909719 45.4892395),"4218, Southeast 69th Avenue, 97123, Southeast 69th Avenue, Hillsboro, OR, United States"
POINT (-122.91024091978827 45.4897157),"4185, Southeast 69th Avenue, 97123, Southeast 69th Avenue, Hillsboro, OR, United States"
POINT (-123.05763295533865 45.5206736),"Virginia Garcia Cornelius Wellness Center, 1151, North Adair Street, 97113, North Adair Street, Cornelius, OR, United States"
POINT (-123.00032635 45.51793335),"LifeWorks NW, 971, Southwest Walnut Street, 97123, Southwest Walnut Street, Hillsboro, OR, United States"
POINT (-123.801222 46.193379),"Astoria Coffee Co., 304, 37th Street, 97103, 37th Street, Astoria, OR, United States"
POINT EMPTY,
POINT (-122.6727122 45.5233239),"215, West Burnside Street, 97209, West Burnside Street, Portland, OR, United States"
POINT (-122.64276772493392 45.5162243),"Prism Health, 2236, Southeast Belmont Street, 97214, Southeast Belmont Street, Portland, OR, United States"
POINT (-120.2124129 45.0011723),"Jay Street, 97830, Fossil, Oregon, United States"
POINT (-120.14715110038128 44.56453965),"Mitchell School, 340, Southeast High Street, 97750, Southeast High Street, Mitchell, OR, United States"
POINT (-119.791681 44.834978),"Pine Street, 97874, Spray, Oregon, United States"
POINT (-119.7029436 45.8295431),"Tatone Street Southwest, 97818, Boardman, Oregon, United States"
POINT (-119.7005834 45.839855),"Boardman, 97818, Oregon, United States"
POINT (-121.8678239 42.5756769),"South Wasco Avenue, 97624, Chiloquin, Oregon, United States"
POINT (-121.7875949 42.2531231),"Campus Drive, 97601, Klamath Falls, Oregon, United States"
POINT (-121.7816704 42.224867),"Klamath Falls, 97601, Oregon, United States"
POINT (-121.7796181 42.2282446),"Pine Street, 97601, Klamath Falls, Oregon, United States"
POINT (-121.73502085950184 42.19990395),"Mazama High School, 3009, Summers Lane, 97603, Summers Lane, Klamath Falls, OR, United States"
POINT (-122.8777334 42.3323522),"North Central Avenue, 97501, Medford, Oregon, United States"
POINT (-122.878049 42.360163),"Chevy Way, 97502, Medford, Oregon, United States"
POINT EMPTY,
POINT (-122.8713784 42.3450605),"Progress Drive, 97501, Medford, Oregon, United States"
POINT (-122.8689773 42.3375488),"Market Street, 97501, Medford, Oregon, United States"
POINT (-122.819716 42.272438),"2nd Street, 97535, Phoenix, Oregon, United States"
POINT (-122.8876441 42.3241944),"Summit Avenue, 97501, Medford, Oregon, United States"
