geometry,address
POINT (-72.0203727 44.418947),"Saint Johnsbury Main Street Historic District, Eastern Avenue, 05818, Eastern Avenue, Saint Johnsbury, VT, United States"
POINT (-72.198657 44.8099838),"11, Union Street, 05860, Union Street, Orleans, VT, United States"
POINT (-72.01281741959261 44.44814975),"St. Johnsbury Community Health Center, 185, Sherman Drive, 05819, Sherman Drive, Saint Johnsbury, VT, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-72.9638406 44.3870826),"200, Highland Drive, 05477, Highland Drive, Richmond, VT, United States"
POINT EMPTY,
POINT (-72.9571476 44.3827821),"400, Greystone Drive, 05477, Greystone Drive, Richmond, VT, United States"
POINT (-72.6722498 44.9878197),"44, Thomas Street, 05476, Thomas Street, Richford, VT, United States"
POINT EMPTY,
POINT (-73.1229507 44.9197397),"26, Canada Street, 05488, Canada Street, Swanton, VT, United States"
POINT (-73.1229278 44.9190869),"13, York Street, 05488, York Street, Swanton, VT, United States"
POINT (-72.60894293205482 43.2666928),"chester dental center, 55, Vermont Route 11 West, 05143, Vermont Route 11 West, chestyer, VT, United States"
POINT (-72.4866694044864 43.3017283),"Springfield Health Center, 100, River Street, 05156, River Street, Springfield, VT, United States"
POINT (-72.47347080837731 43.29153315),"The Edgar May Health & Recreation Center, 140, Clinton Street, 05156, Clinton Street, Springfield, VT, United States"
POINT (-72.4847966451552 43.306200149999995),"10, Hoover Street, 05156, Hoover Street, Springfield, VT, United States"
POINT (-72.51407970267066 43.3306149),"441, River Street, 05150, River Street, Springfield, VT, United States"
POINT (-72.6976449617319 43.398579299999994),"Gill Odd Fellows Home of Vermont Inc, 8, Gill Terrace, 05149, Gill Terrace, Ludlow, VT, United States"
POINT (-72.6963841 43.3956024),"Ludlow Health Center, 1, Elm Street, 05149, Elm Street, Ludlow, Vermont, United States"
POINT EMPTY,
POINT (-72.49704559826301 43.304478),"13, Fairground Road, 05156, Fairground Road, Springfield, VT, United States"
POINT EMPTY,
POINT (-72.4866694044864 43.3017283),"Springfield Health Center, 100, River Street, 05156, River Street, Springfield, VT, United States"
POINT (-72.47802316662018 43.28131835),"Springfield High School, 303, South Street, 05156, South Street, springfield, VT, United States"
