geometry,address
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-81.3020619 38.4806541),"Brawley Church, Elk River Road North, 25045, Elk River Road North, Clendenin, WV, United States"
POINT (-81.6589101 38.3917742),"Hands On Day Care, Sissonville Drive, 25312, Sissonville Drive, Charleston, WV, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-81.6589101 38.3917742),"Hands On Day Care, Sissonville Drive, 25312, Sissonville Drive, Charleston, WV, United States"
POINT (-81.6642122 38.3652616),"WVSU-EDC, 1506, Kanawha Boulevard West, 25303, Kanawha Boulevard West, Charleston, WV, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-80.852876 38.2814981),"Summersville Municipal Building, Main Street, 26651, Main Street, Summersville, WV, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-80.852876 38.2814981),"Summersville Municipal Building, Main Street, 26651, Main Street, Summersville, WV, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-80.66715675166438 38.695801700000004),"Braxton County High School, 200, Jerry Burton Drive, 26601, Jerry Burton Drive, Sutton, WV, United States"
POINT (-80.66351040001733 38.694590149999996),"Braxton County Middle School, 100, Carter Braxton Drive, 26601, Carter Braxton Drive, Sutton, WV, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-80.39766597545105 39.27603445),"Liberty High School, 1, Mountaineer Drive, 26301, Mountaineer Drive, Clarksburg, WV, United States"
POINT EMPTY,
POINT (-80.67727643364492 38.6889138),"Skidmores RV Park, Sutton Lane, 26601, Sutton Lane, Sutton, WV, United States"
POINT EMPTY,
POINT (-79.8474293 38.414868),"Community Care of Green Bank, 4498, Potomac Highlands Trail, 24944, Potomac Highlands Trail, Green Bank, West Virginia, United States"
POINT (-79.8177686 38.4282211),"Community Care Dental, 6404, Potomac Highlands Trail, 24944, Potomac Highlands Trail, Green Bank, West Virginia, United States"
POINT EMPTY,
POINT (-79.458614 39.0179653),"14, WV Dept Natural Resources Road, 26263, WV Dept Natural Resources Road, West Virginia, United States"
POINT (-79.8282237 38.4236585),"Potomac Highlands Trail, 24944, Green Bank, West Virginia, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-77.76635022201447 39.3167403),"Clarion Inn Conference Center, Alstadts Hill Road, 25432, Alstadts Hill Road, WV, United States"
POINT EMPTY,
POINT (-77.76635022201447 39.3167403),"Clarion Inn Conference Center, Alstadts Hill Road, 25432, Alstadts Hill Road, WV, United States"
POINT EMPTY,
POINT EMPTY,
