geometry,address
POINT (-81.3019345 29.0077971),"1205, South Woodland Boulevard, 32720, South Woodland Boulevard, Deland, Florida, United States"
POINT (-81.0218521 29.1776524),"801, Beville Road, 32119, Beville Road, South Daytona, Florida, United States"
POINT (-81.4593847 29.2445522),"216, South Frederick Street, 32180, South Frederick Street, Pierson, Florida, United States"
POINT EMPTY,
POINT (-81.5063711 29.7170613),"East Lattin Street, 32145, Florida, United States"
POINT (-81.649649 29.641703),"President Street, 32177, Palatka, Florida, United States"
POINT (-81.6360975 29.6412597),"River Street, 32177, Palatka, Florida, United States"
POINT (-81.9215792 29.6240344),"Old FL 20, 32148, Interlachen, Florida, United States"
POINT (-81.20319900402512 29.56086415),"5, Clubhouse Drive, 32137, Clubhouse Drive, Palm Coast, Florida, United States"
POINT (-81.6723547 29.4788264),"Elm Street, 32193, Welaka, Florida, United States"
POINT (-81.5344591 29.428417),"Union Avenue, 32112, Florida, United States"
POINT (-81.05924429999999 29.2052491),"1425, Dunn Avenue, 32114, Dunn Avenue, Daytona Beach, FL, United States"
POINT (-81.05952480095334 29.2050846),"1455, Dunn Avenue, 32114, Dunn Avenue, Daytona Beach, FL, United States"
POINT (-81.0542487 29.2061307),"1220, Willis Avenue, 32114, Willis Avenue, Daytona Beach, FL, United States"
POINT (-81.05379292948618 29.2064679),"420, Stadium Road, 32114, Stadium Road, Daytona Beach, FL, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-81.310391 28.813832),"Harvest Time Dr., 32771, Sanford, Florida, United States"
POINT EMPTY,
POINT (-81.2866392 28.7580719),"17/92, 32773, Sanford, Florida, United States"
POINT (-81.2400622 28.8919338),"Dewey Boster Park, 1200, Saxon Boulevard, 32725, Saxon Boulevard, Deltona, FL, United States"
POINT (-81.1875025 28.9240964),"2160, Howland Boulevard, 32738, Howland Boulevard, Deltona, FL, United States"
POINT (-80.7273204 28.3308148),"Barton Blvd/ Murrell Rd (SE Corner), Barton Boulevard, 32955, Barton Boulevard, Rockledge, Florida, United States"
POINT EMPTY,
POINT (-80.5804028 28.0373664),"Palm Bay, 32905, FL, United States"
POINT EMPTY,
POINT (-80.6340064 28.0350552),"Ne Palm Bay Rd/ Port Malabar Rd (SE Corner), Port Malabar Boulevard Northeast, 32905, Port Malabar Boulevard Northeast, Palm Bay, Florida, United States"
POINT (-80.6087006 28.0842283),"Silver Palm Avenue, 32901, Melbourne, Florida, United States"
POINT (-80.5804028 28.0373664),"Palm Bay, 32905, FL, United States"
POINT (-80.7260641 28.3553183),"The Historic Cocoa Village Playhouse, 300, Brevard Avenue, 32922, Brevard Avenue, Cocoa, FL, United States"
POINT EMPTY,
POINT (-80.7485516 28.3824902),"Pineda Street, 32922, Cocoa, Florida, United States"
POINT (-80.8462795 28.6415151),"North Singleton Avenue, 32796, Titusville, Florida, United States"
POINT (-80.6142526 28.0636759),"E. University Blvd/ Carlson Cir (SE Corner), East University Boulevard, 32901, East University Boulevard, Melbourne, FL, United States"
POINT EMPTY,
POINT (-80.4914705 27.8289468),"129th Street, 32958, Sebastian, Florida, United States"
POINT (-80.57668715 27.7684932),"Traeasure Coast Community Health, 12196, CR 512, 32948, CR 512, Fellsmere, FL, United States"
POINT (-80.5890174 27.7674639),"CR 512 & 128h Avenue, CR 512, 32948, CR 512, Fellsmere, FL, United States"
POINT (-80.38241757420256 27.6180261),"345, 9th pl, vero beach, fl, 32960, Florida, United States"
POINT EMPTY,
POINT (-80.8203666 28.6255579),"Century Medical Drive, 32796, Titusville, Florida, United States"
POINT (-80.38241757420256 27.6180261),"345, 9th pl, vero beach, fl, 32960, Florida, United States"
POINT (-81.2505621 28.4841604),"Orlando Fire Department Station 14, Econlockhatchee Trail, 32829, Econlockhatchee Trail, Orlando, FL, United States"
POINT EMPTY,
POINT (-81.403698 28.3152749),"North Orange Blossom Trail, 34741, Kissimmee, Florida, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-81.4521807 28.3043393),"West Irlo Bronson Memorial Highway, 34742, Kissimmee, Florida, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-81.45869965344943 28.28591395),"Villa 251/252, South Bass Road, 34746, South Bass Road, Kissimmee, FL, United States"
POINT (-81.404661 28.314425),"Park Place Blvd, 34741, Kissimmee, Florida, United States"
POINT EMPTY,
POINT (-81.2663406 28.2477199),"Grape Avenue, 34769, Saint Cloud, Florida, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-81.2185149 28.5686378),"11229 E, E Colonial Dr, 32817, E Colonial Dr, Orlando, FL, United States"
POINT EMPTY,
POINT (-81.37723775043523 28.546006900000002),"105, Robinson Street, 32801, Robinson Street, Orlando, FL, United States"
POINT (-81.3525466 28.5532531),"East Colonial Drive, 32803, Orlando, Florida, United States"
POINT EMPTY,
POINT (-81.4298083 28.4961161),"Petco, 4616, Millenia Plaza Way, 32839, Millenia Plaza Way, Orlando, FL, United States"
POINT (-81.4304358 28.5545879),"Mercy Drive, 32808, Orlando, Florida, United States"
POINT EMPTY,
POINT (-81.4075041 28.5371287),"Dollins Avenue, 32805, Orlando, Florida, United States"
POINT (-81.3998701 28.4463147),"Orlando, FL, Florida Mall at 8001 South Orange Blossom Trail, Florida Mall Avenue, 32809, Florida Mall Avenue, Orlando, FL, United States"
POINT EMPTY,
POINT (-81.3972833 28.5425417),"North Orange Blossom Trail, 32805, Orlando, Florida, United States"
POINT (-81.4359074 28.5468228),"Old Winter Garden Rd. and Kerry Dr., Old Winter Garden Road, 32805, Old Winter Garden Road, Orlando, Florida, United States"
