geometry,address
POINT (-87.6522941 41.9132306),"Clybourn Park, North Clybourn Avenue, 60614, North Clybourn Avenue, Chicago, IL, United States"
POINT (-87.60580789368485 41.89129745),"Chicago Shakespeare Theater, 800, East Grand Avenue, 60611, East Grand Avenue, Chicago, IL, United States"
POINT (-87.7999081 41.8886851),"Lake Street, 60301, Oak Park, Illinois, United States"
POINT (-87.76048158696206 41.8763602),"5425, West Jackson Boulevard, 60644, West Jackson Boulevard, Chicago, IL, United States"
POINT (-87.71347884750307 41.89047505),"3446-3456, West Franklin Boulevard, 60624, West Franklin Boulevard, Chicago, Illinois, United States"
POINT (-87.77579195 41.90216985),"14, Division Street, 60302, Division Street, Oak Park, IL, United States"
POINT (-87.68838387684698 42.011746849999994),"7120, North Oakley Avenue, 60645, North Oakley Avenue, Rogers Park Township, Illinois, United States"
POINT (-87.7886545 41.9056513),"Fair Oaks Avenue, 60302, Oak Park, Illinois, United States"
POINT (-87.79187941441239 41.78220185),"6018-6040, South Oak Park Avenue, 60638, South Oak Park Avenue, Lake Township, Illinois, United States"
POINT (-87.70270996094216 41.87758785),"3040, West Jackson Boulevard, 60644, West Jackson Boulevard, Chicago, IL, United States"
POINT (-87.8037828 41.8652462),"BP, 7140, West Roosevelt Road, 60304, West Roosevelt Road, Oak Park, IL, United States"
POINT (-88.31641015000517 42.06467285),"Century Oaks Park, 1300, North McLean Boulevard, 60123, North McLean Boulevard, Elgin, IL, United States"
POINT (-87.7751733 41.8916138),"Austin & Erie SB, 3, Erie Court, 60302, Erie Court, Oak Park, IL, United States"
POINT (-87.67110732211539 41.75345745),"7712, South Wolcott Avenue, 60620, South Wolcott Avenue, Chicago, IL, United States"
POINT (-87.67495236262423 42.000749),"1774, West Arthur Avenue, 60626, West Arthur Avenue, Chicago, IL, United States"
POINT (-87.6317019198058 41.66976405),"West Pullman Park, 401, West 123rd Street, 60628, West 123rd Street, Chicago, IL, United States"
POINT EMPTY,
POINT (-87.62704458088756 41.88401675),"Macy's, 101-137, North State Street, 60602, North State Street, Chicago, IL, United States"
POINT (-87.55691569585841 41.73457545),"Bowen High School, 2710, East 89th Street, 60617, East 89th Street, Chicago, IL, United States"
POINT (-87.62877387193906 41.852376250000006),"The Park at NTA, 55, West Cermak Road, 60616, West Cermak Road, Chicago, IL, United States"
POINT (-87.6303651 41.88306685),"Miro's Chicago, West Washington Street, 60602, West Washington Street, Chicago, IL, United States"
POINT (-87.67200832121996 41.86638155),"Mile Square Health Center, 1220, South Wood Street, 60608, South Wood Street, Chicago, IL, United States"
POINT (-87.6573773074198 41.950904449999996),"1101-1111, West Grace Street, 60613, West Grace Street, Chicago, Illinois, United States"
POINT EMPTY,
POINT (-88.2472586 42.1074256),"Wakefield Drive, 60110, Carpentersville, Illinois, United States"
POINT EMPTY,
POINT (-88.1450735 41.9994722),"Hanover Park, 60133, Illinois, United States"
POINT (-88.2771367 42.0464051),"Summit Street, 60120, Elgin, Illinois, United States"
POINT (-88.2676998 42.0567692),"Dundee Avenue, 60120, Elgin, Illinois, United States"
POINT EMPTY,
POINT (-88.1057845 41.8916647),"South Schmale Road, 60187, Carol Stream, Illinois, United States"
POINT (-88.1347927 41.9125286),"Carol Stream, 60188, Illinois, United States"
POINT (-88.3216375 42.0343034),"Grandstand Place, 60123, Elgin, Illinois, United States"
POINT (-88.37289964560878 42.0574848),"38W620, Highland Avenue, 60123, Highland Avenue, Elgin, IL, United States"
POINT (-88.0032697 42.0808415),"Kaizen CPAs + Advisors, 121, South Wilke Road, 60005, South Wilke Road, Arlington Heights, IL, United States"
POINT EMPTY,
POINT (-88.2627957 42.1000305),"Howard Avenue, 60118, East Dundee, Illinois, United States"
POINT (-87.69759882349372 42.01958115),"1723, Howard Street, 60202, Howard Street, Evanston, IL, United States"
POINT (-87.6727949196881 42.01357155),"1707-1709, West Chase Avenue, 60626, West Chase Avenue, Chicago, IL, United States"
POINT (-87.8354619 42.0520605),"8307 W Golf Rd, North Milwaukee Avenue, 60714, North Milwaukee Avenue, Niles, Illinois, United States"
POINT (-87.69053987400281 41.990767399999996),"2414-2424, West Peterson Avenue, 60645, West Peterson Avenue, Chicago, IL, United States"
POINT (-87.75955718212722 42.0411334),"8800, Lockwood Avenue, 60077, Lockwood Avenue, Skokie, IL, United States"
POINT (-87.68002718175677 41.975116299999996),"Amundsen High School, 5110, North Damen Avenue, 60625, North Damen Avenue, Chicago, IL, United States"
POINT (-87.7031529 42.0406154),"1285, Hartrey Avenue, 60202, Hartrey Avenue, Evanston, Illinois, United States"
POINT (-87.66899600191353 41.98643625),"1540-1542, West Edgewater Avenue, 60660, West Edgewater Avenue, Chicago, IL, United States"
POINT (-87.55841704260288 41.75939855),"7512-7514, South Coles Avenue, 60649, South Coles Avenue, Chicago, IL, United States"
