geometry,address
POINT (-122.41154338492464 37.7972256),"Chinatown Public Health Center, 1490, Mason Street, 94133, Mason Street, San Francisco, CA, United States"
POINT (-122.4480963 37.762555),"555b, Belvedere Street, 94117, Belvedere Street, San Francisco, CA, United States"
POINT (-122.41299378601866 37.7822467),"134, Golden Gate Avenue, 94102, Golden Gate Avenue, San Francisco, CA, United States"
POINT (-122.4009518 37.7808925),"South of Market, 94104, San Francisco, California, United States"
POINT (-122.41043691372735 37.785734250000004),"Hilton San Francisco Union Square, 333, O'Farrell Street, 94102, O'Farrell Street, San Francisco, CA, United States"
POINT (-122.41720872138995 37.748380850000004),"3358, Cesar Chavez Street, 90103, Cesar Chavez Street, San Francisco, California, United States"
POINT (-122.3558473 37.7884969),"San Francisco Bay Area, 94110, California, United States"
POINT (-122.41502833749999 37.78202815),"260, Golden Gate Avenue, 94102, Golden Gate Avenue, San Francisco, CA, United States"
POINT (-122.40235012240814 37.7940165),"Wayfare Tavern, 558, Sacramento Street, 94111, Sacramento Street, San Francisco, CA, United States"
POINT (-122.41809568682447 37.7730524),"1563, Mission Street, 94102, Mission Street, San Francisco, CA, United States"
POINT (-122.40716634060146 37.76662965),"225, Potrero Avenue, 90103, Potrero Avenue, San Francisco, California, United States"
POINT (-122.43607926271508 37.78217275),"1301, Pierce Street, 94115, Pierce Street, San Francisco, California, United States"
POINT (-122.3989456178788 37.789198),"Golden Gate University, Mission Street, 94105, Mission Street, San Francisco, CA, United States"
POINT (-122.412465 37.7777904),"1171, Mission Street, 94103, Mission Street, San Francisco, CA, United States"
POINT (-122.4183276 37.764068699999996),"165, Capp Street, 90103, Capp Street, San Francisco, CA, United States"
POINT (-122.4165538523796 37.76459825),"Mission Neighborhood Health Center, 240, Shotwell Street, 94110, Shotwell Street, San Francisco, CA, United States"
POINT (-122.4180806 37.8020321),"1001, Lombard Street, 94109, Lombard Street, San Francisco, CA, United States"
POINT (-122.4105414 37.8070706),"Stockton Street, 94133, San Francisco, California, United States"
POINT (-122.390145 37.7515396),"Harmonic Brewing, 1050, 26th Street, 94107, 26th Street, San Francisco, CA, United States"
POINT (-122.389071 37.7896119),"Mozilla Community Space, 2, Harrison Street, 94105, Harrison Street, San Francisco, CA, United States"
POINT (-122.41696120795669 37.756478900000005),"Iglesia de Santa Maria y Santa Marta, 1050, South Van Ness Avenue, 94110, South Van Ness Avenue, San Francisco, CA, United States"
POINT (-122.41564993721423 37.777559499999995),"Dolby Laboratories, 1275, Market Street, 94103, Market Street, San Francisco, CA, United States"
POINT (-122.41889882520704 37.764045949999996),"170, Capp Street, 90103, Capp Street, San Francisco, CA, United States"
POINT (-122.40525322201563 37.756810349999995),"San Francisco General Hospital, 1001, Potrero Avenue, 94158, Potrero Avenue, San Francisco, CA, United States"
POINT (-122.40923999803424 37.7794909),"551, Minna Street, 94103, Minna Street, San Francisco, California, United States"
POINT (-122.40357487332957 37.75297325),"2401, 24th Street, 94124, 24th Street, San Francisco, California, United States"
POINT (-122.418265 37.7779607),"Dr. Tom Waddell Place, 94102, San Francisco, California, United States"
POINT (-122.41434370393614 37.782074300000005),"Kelly Cullen Community, 220, Golden Gate Avenue, 94102, Golden Gate Avenue, San Francisco, CA, United States"
POINT (-122.41175418738541 37.7843538),"Windsor Hotel, 238, Eddy Street, 94102, Eddy Street, San Francisco, California, United States"
POINT (-122.40525322201563 37.756810349999995),"San Francisco General Hospital, 1001, Potrero Avenue, 94158, Potrero Avenue, San Francisco, CA, United States"
