geometry,address
POINT (-72.5636326 41.9567982),"155, Raffia Road, 06082, Raffia Road, Enfield, CT, United States"
POINT (-72.07115854209425 41.33737335),"Marine Science Magnet High School, 130, Shennecossett Road, 06340, Shennecossett Road, Groton, CT, United States"
POINT (-72.4436603 41.4931183),"15, School Drive, 06469, School Drive, East Haddam, CT, United States"
POINT (-72.446251 41.5219514),"73, Clark Gates Road, 06469, Clark Gates Road, East Haddam, CT, United States"
POINT (-71.930559469634 41.682347050000004),"Plainfield Central Middle School, 75, Canterbury Road, 06374, Canterbury Road, Plainfield, CT, United States"
POINT (-71.93234660648113 41.682988),"Plainfield Memorial School, 95, Canterbury Road, 06374, Canterbury Road, Plainfield, CT, United States"
POINT (-72.5688506 42.0160603),"150, Brainard Road, 06082, Brainard Road, Enfield, CT, United States"
POINT (-72.30202527569035 41.97181895),"Stafford Elementary School, 11, Levinthal Run, 06076, Levinthal Run, Stafford Springs, CT, United States"
POINT EMPTY,
POINT (-72.3057275393443 41.96579365),"Stafford Middle School, 21, Levinthal Run, 06076, Levinthal Run, Stafford Springs, CT, United States"
POINT (-72.0981735 41.3558101),"190, Governor Winthrop Boulevard, 06320, Governor Winthrop Boulevard, New London, CT, United States"
POINT (-72.5301117 41.2997035),"71, Killingworth Turnpike, 06413, Killingworth Turnpike, Clinton, CT, United States"
POINT (-72.3465507 41.9696364),"153, West Stafford Road, 06076, West Stafford Road, Stafford Springs, CT, United States"
POINT (-72.1145239 41.3668072),"327, Vauxhall Street, 06320, Vauxhall Street, New London, CT, United States"
POINT (-72.4438818 41.8685646),"3, Prospect Street, 06066, Prospect Street, Vernon, CT, United States"
POINT (-72.4545836 41.8677669),"94, Union Street, 06066, Union Street, Vernon, CT, United States"
POINT (-71.92339350890737 41.92662235),"Putnam Middle School, 35, Wicker Street, 06260, Wicker Street, Putnam, CT, United States"
POINT (-72.2256528 41.7153907),"40, Mansfield Avenue, 06226, Mansfield Avenue, Windham, CT, United States"
POINT (-71.88699110539955 41.8034943),"The Mill at Killingly Apartments, 42, Maple Street, 06239, Maple Street, Danielson, CT, United States"
POINT (-71.9149359 41.9114815),"Generations Family Health Center, 202, Pomfret Street, 06260, Pomfret Street, Putnam, CT, United States"
POINT (-72.10400015 41.5995808),"510, Plain Hill Road, 06360, Plain Hill Road, Norwich, CT, United States"
POINT (-72.5939822 41.9806289),"5, Nutmeg Avenue, 06082, Nutmeg Avenue, Enfield, CT, United States"
POINT (-72.22802254472103 41.7161726),"1315, Main Street, 06226, Main Street, Willimantic, CT, United States"
POINT (-72.16459433963709 41.457062300000004),"Montville High School, 800, Old Colchester Road, 06370, Old Colchester Road, Montville, CT, United States"
POINT (-72.08038405156037 41.53811715),"Norwich Free Academy, 305, Broadway, 06360, Broadway, Norwich, CT, United States"
POINT (-72.08036676953212 41.54880425),"Norwich Technical High School, 7, Mahan Drive, 06360, Mahan Drive, Norwich, CT, United States"
POINT (-72.09640255451627 41.5291728),"Teachers Memorial Global Studies Magnet Middle School, 15, Teachers Drive, 06360, Teachers Drive, Norwich, CT, United States"
POINT (-72.0789385 41.5469745),"25, Mahan Drive, 06360, Mahan Drive, Norwich, CT, United States"
POINT (-72.10101487973174 41.5221636),"386, New London Turnpike, 06360, New London Turnpike, Norwich, CT, United States"
POINT (-72.3484798 41.5787042),"212, Upton Road, 06415, Upton Road, Colchester, CT, United States"
POINT (-72.093068 41.3542141),"New London, Water Street, 06320, Water Street, New London, CT, United States"
POINT (-72.0777025194991 41.53542325),"165, McKinley Avenue Extension, 06360, McKinley Avenue Extension, Norwich, CT, United States"
POINT (-72.08502552593502 41.5285433),"Heritage Trail Corridor, 43-47, Maple Grove Avenue, 06360, Maple Grove Avenue, Norwich, CT, United States"
POINT (-71.8947258 41.7103713),"120, Plainfield Road, 06354, Plainfield Road, Plainfield, CT, United States"
