geometry,address
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-86.74137977525922 36.0881222),"Nashville Zoo at Grassmere, Nolensville Pike, 37211, Nolensville Pike, Nashville, TN, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-85.46795240761134 35.74694705),"907, Old McMinnville Street, 38585, Old McMinnville Street, Spencer, TN, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-84.5134222 36.504537),"North Main Street, 37841, Oneida, Tennessee, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-88.111588 41.8721498),"West Madison Avenue, 60187, Wheaton, Illinois, United States"
POINT (-86.7625769 36.1738736),"First Baptist Church of East Nashville Annex, Main Street, 37206, Main Street, Nashville, TN, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-87.83930238211532 36.487686499999995),"Dover Grille, Spring Street, 37058, Spring Street, Dover, TN, United States"
POINT (-87.3994553 36.5501785),"230 A, Dover Road, 37042, Dover Road, Clarksville, TN, United States"
POINT (-87.39877897776356 36.54815065),"230, Zachry Drive, 37042, Zachry Drive, Clarksville, TN, United States"
POINT EMPTY,
POINT (-86.82670599576215 35.91430345),"1312, Murfreesboro Road, 37064, Murfreesboro Road, Franklin, TN, United States"
POINT (-86.8409075 35.91184695),"202, Julia Court, 37064, Julia Court, Franklin, TN, United States"
POINT (-87.1458403 35.9481194),"Fairview Elementary School, 2640, Fairview Blvd, 37062, Fairview Blvd, Fairview, TN, United States"
POINT (-87.140683 35.9480448),"Fairview High School, 2595, Fairview Blvd, 37062, Fairview Blvd, Fairview, TN, United States"
POINT (-87.137951 35.9508883),"Fairview Middle School, 7200, Cumberland Drive, 37062, Cumberland Drive, Fairview, TN, United States"
POINT (-86.82301854816515 35.9088644),"Tennessee Department of Safety Williamson County Drivers Testing Station, 3830, Carothers Parkway, 37067, Carothers Parkway, Franklin, TN, United States"
POINT (-86.88487530857886 35.9276305),"Freedom Intermediate School, 840, Glass Lane, 37064, Glass Lane, Franklin, TN, United States"
POINT (-87.36041173455723 36.526879300000004),"Downtown Artist Co-op, 96, Franklin Street, 37040, Franklin Street, Clarksville, TN, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-86.84882679260053 35.8937869),"Moore Elementary School, 1061, Lewisburg Pike, 37064, Lewisburg Pike, Franklin, TN, United States"
