geometry,address
POINT EMPTY,
POINT (-84.38627771930686 33.77019035),"Emory University Hospital Midtown, 550, Peachtree Street Northeast, 30308, Peachtree Street Northeast, Atlanta, GA, United States"
POINT EMPTY,
POINT (-84.36943784454982 33.761139850000006),"545, Highland Avenue Northeast, 30312, Highland Avenue Northeast, Atlanta, GA, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-84.3211699 33.7514812),"Kirkwood Branch Atlanta-Fulton Public Library, Hosea L Williams Drive Southeast, 30317, Hosea L Williams Drive Southeast, Atlanta, GA, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-84.39454385848646 33.74763475),"Gateway Center, 275, Pryor Street, 30303, Pryor Street, Atlanta, GA, United States"
POINT EMPTY,
POINT (-84.40307833277555 33.772458549999996),"Adult Rehabilitation Center, 740, Marietta Street, 30318, Marietta Street, Atlanta, GA, United States"
POINT (-84.374463162403 33.750991549999995),"Mercy Care, 424, Decatur Street Southeast, 30312, Decatur Street Southeast, Atlanta, GA, United States"
POINT (-84.374463162403 33.750991549999995),"Mercy Care, 424, Decatur Street Southeast, 30312, Decatur Street Southeast, Atlanta, GA, United States"
POINT (-84.374463162403 33.750991549999995),"Mercy Care, 424, Decatur Street Southeast, 30312, Decatur Street Southeast, Atlanta, GA, United States"
POINT EMPTY,
POINT (-84.3906 33.6814),"Cleveland Avenue Library, Cleveland Avenue Southwest, 30344, Cleveland Avenue Southwest, Atlanta, GA, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-84.3913949 33.7257393),"1046, Ridge Avenue Southwest, 30315, Ridge Avenue Southwest, Atlanta, GA, United States"
POINT (-84.3913949 33.7257393),"1046, Ridge Avenue Southwest, 30315, Ridge Avenue Southwest, Atlanta, GA, United States"
POINT (-80.9660505 32.0350262),"212, East Point Drive, 31410, East Point Drive, Savannah, GA, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-84.16696738640714 34.20710215),"Kelly Mill Elementary School, Kelly Mill Road, 30040, Kelly Mill Road, Cumming, GA, United States"
POINT (-84.04241084523667 34.366580850000005),"Bethel United Methodist Church, 100, Lumpkin Campground Road South, 30534, Lumpkin Campground Road South, Dawsonville, GA, United States"
POINT (-84.1387836 34.2142389),"Forsyth County Sheriff, 475, Tribble Gap Road, 30040, Tribble Gap Road, Cumming, GA, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-83.9386164 33.0358391),"Forsyth Commercial Historic District, North Lee Street, 31029, North Lee Street, Forsyth, GA, United States"
POINT (-83.7568303 32.6520513),"Dollar General, 100, Ga Hwy 49 S, 31008, Ga Hwy 49 S, Byron, GA, United States"
POINT (-83.6855573 32.4588705),"Gage Drive, 31069, Perry, Georgia, United States"
POINT (-83.4682284 32.2821067),"Hawkinsville City Hall, Broad Street, 31036, Broad Street, Hawkinsville, GA, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-83.6525212 31.706248),"East Washington Avenue, 31714, Ashburn, Georgia, United States"
POINT (-83.5026572 31.471123),"New China Buffet, 1805, Tift Avenue North, 31794, Tift Avenue North, Tifton, GA, United States"
POINT (-83.7814766 31.1794439),"Moultrie Automotive, 11, 6th Street Southeast, 31768, 6th Street Southeast, Moultrie, GA, United States"
POINT EMPTY,
POINT (-83.5130227 31.4432248),"Garrison Avenue, 31794, Tifton, Georgia, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-83.6885057 31.2651852),"Baker Memorial Park, Chapman Street, 31771, Chapman Street, Norman Park, Georgia, United States"
POINT (-83.6885057 31.2651852),"Baker Memorial Park, Chapman Street, 31771, Chapman Street, Norman Park, Georgia, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-83.2558054 33.0971433),"Combs Court Reporting, Inc., 101 Chase Ct NW, #C, 31061, 101 Chase Ct NW, #C, Milledgeville, GA, United States"
POINT (-83.2585993 33.0973689),"Garrett Way, 31061, Milledgeville, Georgia, United States"
