geometry,address
POINT (-118.20914553823437 33.89802615),"Compton Fire Station 2, North Poinsettia Avenue, 90221, North Poinsettia Avenue, Compton, California, United States"
POINT (-118.1913121 33.883438),"Long Beach Freeway, 90221, Compton, California, United States"
POINT (-118.37084 33.9642328),"South La Cienega Boulevard, 90304, Inglewood, California, United States"
POINT EMPTY,
POINT (-118.3534712 33.9657063),"K Line, North La Brea Avenue, 90302, North La Brea Avenue, Inglewood, California, United States"
POINT EMPTY,
POINT (-118.2334819 33.9465285),"Juniper Street, 90002, Los Angeles, California, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-118.29167 33.9668188),"Vermont Knolls, 90044, Los Angeles, California, United States"
POINT (-118.2808001 33.9600403),"Harbor Transitway, West Manchester Avenue, 90044, West Manchester Avenue, Los Angeles, California, United States"
POINT (-118.29167 33.9668188),"Vermont Knolls, 90044, Los Angeles, California, United States"
POINT EMPTY,
POINT (-118.1953491 33.903558),"East Rosecrans Avenue, 90221, California, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-118.1839792 33.9553383),"Atlantic Avenue, 90280, South Gate, California, United States"
POINT (-118.19082874479344 33.76468345),"Long Beach Convention Center, E Ocean Boulevard, 90802, E Ocean Boulevard, Long Beach, CA, United States"
POINT (-118.20268919064617 33.929848),"Saint Francis Medical Center Helistop, Martin Luther King Jr Blvd, 90262, Martin Luther King Jr Blvd, Lynwood, California, United States"
POINT (-118.2057843 33.9543876),"La Barca, 3501, Firestone Boulevard, 90280, Firestone Boulevard, South Gate, California, United States"
POINT (-118.27977 33.8400732),"South Main Street, 90745, Carson, California, United States"
POINT EMPTY,
POINT (-118.19264139240894 33.76847685),"First National Bank of Long Beach, 101, Pine Avenue, 90802, Pine Avenue, Long Beach, CA, United States"
POINT (-118.1814147 33.8510364),"East Via Wanda, 90805, Long Beach, California, United States"
POINT (-118.19082874479344 33.76468345),"Long Beach Convention Center, E Ocean Boulevard, 90802, E Ocean Boulevard, Long Beach, CA, United States"
POINT (-118.18642034979399 33.86964585),"540, East Adams Street, 90805, East Adams Street, Long Beach, CA, United States"
POINT EMPTY,
POINT (-118.1937561 33.7723341),"Pacific Avenue, Pacific Avenue, 90802, Pacific Avenue, Long Beach, California, United States"
POINT (-118.19082874479344 33.76468345),"Long Beach Convention Center, E Ocean Boulevard, 90802, E Ocean Boulevard, Long Beach, CA, United States"
POINT (-118.22673006273011 33.95820785),"South Gate Educational Center (East Los Angeles College), Beaudine Avenue, 90280, Beaudine Avenue, South Gate, California, United States"
POINT (-118.2922934 33.7358518),"San Pedro, 90731, Los Angeles, California, United States"
POINT (-118.2882552504677 33.73999025),"425, South Pacific Avenue, 90731, South Pacific Avenue, Los Angeles, CA, United States"
POINT (-118.2123117 33.9300611),"Tacos El Gavilan, Imperial Hwy, 90262, Imperial Hwy, Lynwood, CA, United States"
POINT (-118.2123117 33.9300611),"Tacos El Gavilan, Imperial Hwy, 90262, Imperial Hwy, Lynwood, CA, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-118.2042433 33.9440612),"Tweedy Boulevard, 90280, South Gate, California, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-118.2807398729066 33.79107725),"Harbor Park Park And Ride, 1345 W Pacific Coast Hwy Ne Quad I-110 / Pch Ic, 90744, 1345 W Pacific Coast Hwy Ne Quad I-110 / Pch Ic, Wilmington, California, United States"
POINT (-118.2623415 33.7799923),"East Anaheim Street, 90744, Los Angeles, California, United States"
POINT (-118.2623415 33.7799923),"East Anaheim Street, 90744, Los Angeles, California, United States"
POINT EMPTY,
POINT (-118.1516187 33.8982513),"2nd Street, 90723, Paramount, California, United States"
POINT (-118.1118308 33.8879895),"Alondra Boulevard, 90706, Bellflower, California, United States"
POINT (-118.16824019465531 33.87298235),"Affordable Burial & Cremation, 6510, Cherry Avenue, 90805, Cherry Avenue, Long Beach, CA, United States"
POINT EMPTY,
POINT (-117.9627459 33.7996937),"Gardenaire Lane, 92841, Garden Grove, California, United States"
POINT (-117.95898752925272 33.78110805),"12511, Brookhurst Street, 92840, Brookhurst Street, Garden Grove, CA, United States"
POINT (-117.9627349 33.7038145),"Fountain Valley, 92708, California, United States"
POINT (-118.065191 33.8262397),"Wardham Avenue, 90716, Hawaiian Gardens, California, United States"
POINT EMPTY,
POINT (-117.9954667 33.8698881),"Commonwealth Avenue, 90621, Buena Park, California, United States"
POINT (-117.99667893103621 33.774347500000005),"7761, Garden Grove Boulevard, 92841, Garden Grove Boulevard, Garden Grove, CA, United States"
POINT (-117.96096189965377 33.7956049),"9862, Orangewood Avenue, 92841, Orangewood Avenue, Garden Grove, CA, United States"
POINT (-117.96096189965377 33.7956049),"9862, Orangewood Avenue, 92841, Orangewood Avenue, Garden Grove, CA, United States"
POINT (-118.0112993 33.8594784),"Knott Avenue, 90620, Buena Park, California, United States"
POINT (-117.86969803351195 33.8853742),"3232, Topaz Lane, 92831, Topaz Lane, Fullerton, CA, United States"
POINT (-117.9627349 33.7038145),"Fountain Valley, 92708, California, United States"
POINT (-117.88491992117099 33.82268315),"Katella High School, South Evening Star Drive, 92806, South Evening Star Drive, Anaheim, CA, United States"
POINT (-117.92924375202271 33.83432225),"1202, West Pearl Street, 92801, West Pearl Street, Anaheim, CA, United States"
