geometry,address
POINT (-118.0467339 34.0519548),"South El Monte, 91733, California, United States"
POINT (-1.1567325 37.9300132),"Calle Rambla de la Paciencia, 30120, Murcia, Región de Murcia, España"
POINT (-117.9264866 34.0699244),"Chase, 100, Vincent Avenue, 91790, Vincent Avenue, West Covina, California, United States"
POINT (-118.053507 34.0708952),"Baldwin Place, 91731, El Monte, California, United States"
POINT (-118.0467339 34.0519548),"South El Monte, 91733, California, United States"
POINT (-118.0467339 34.0519548),"South El Monte, 91733, California, United States"
POINT (-117.9798412 34.0665281),"Maine Avenue, 91706, Baldwin Park, California, United States"
POINT (-117.9798412 34.0665281),"Maine Avenue, 91706, Baldwin Park, California, United States"
POINT (-117.9798412 34.0665281),"Maine Avenue, 91706, Baldwin Park, California, United States"
POINT (-118.0467339 34.0519548),"South El Monte, 91733, California, United States"
POINT EMPTY,
POINT (-117.9798412 34.0665281),"Maine Avenue, 91706, Baldwin Park, California, United States"
POINT (-118.030537 34.0597457),"Peck Road, 91731, El Monte, California, United States"
POINT (-118.0467339 34.0519548),"South El Monte, 91733, California, United States"
POINT (-118.0537583 34.0626717),"Garvey Avenue, 91733, El Monte, California, United States"
POINT (-118.0014012158125 34.1511428),"Chase, 102, West Foothill Boulevard, 91016, West Foothill Boulevard, Monrovia, CA, United States"
POINT (-117.9223747 34.0706985),"Glendora Square, 91790, West Covina, California, United States"
POINT (-118.0416523 34.0739351),"Santa Anita Avenue, 91731, El Monte, California, United States"
POINT EMPTY,
POINT (-117.882637 34.0873044),"College Way, 91723, Covina, California, United States"
POINT (-117.9271635 34.014887),"Villa Park Street, 91744, La Puente, California, United States"
POINT (-117.9073957 34.1454802),"North Azusa Avenue, 91702, Azusa, California, United States"
POINT (-117.9798412 34.0665281),"Maine Avenue, 91706, Baldwin Park, California, United States"
POINT (-117.9227446 34.0134446),"South Azusa Avenue, 91744, La Puente, California, United States"
POINT (-118.0687577 34.0702062),"Aerojet Avenue, 91731, El Monte, California, United States"
POINT (-117.8454453 34.0080692),"Industry, Brea Canyon Road, 91789, Brea Canyon Road, California, United States"
