geometry,address
POINT (-90.0045151 29.8266955),"Belle Chasse Launch Road, 70037, Belle Chasse, Louisiana, United States"
POINT EMPTY,
POINT (-90.25456792772627 30.03458115),"4121, Medoc Drive, 70065, Medoc Drive, Kenner, Louisiana, United States"
POINT (-90.1815264 29.9784194),"400, Phlox Avenue, 70001, Phlox Avenue, Metairie, Louisiana, United States"
POINT (-90.1660689 30.0132951),"4301, Grace King Place, 70002, Grace King Place, Metairie, Louisiana, United States"
POINT (-90.2577426 30.0203749),"819, West Esplanade Avenue, 70065, West Esplanade Avenue, Kenner, LA, United States"
POINT (-90.25946989724483 30.0216394),"671, West Esplanade Avenue, 70065, West Esplanade Avenue, Kenner, Louisiana, United States"
POINT (-90.24934474868404 30.0166715),"The Esplanade, 1401, West Esplanade Avenue, 70065, West Esplanade Avenue, Kenner, LA, United States"
POINT (-90.0943231 29.9306573),"3507, Dryades Street, 70115, Dryades Street, New Orleans, LA, United States"
POINT (-89.974556 29.9517553),"West Judge Perez Drive, 70043, Chalmette, Louisiana, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-90.00159591230361 29.238457500000003),"Marine Fisheries Laboratory, Ludwig Lane, 70358, Ludwig Lane, Grand Isle, LA, United States"
POINT (-90.10124574940741 29.6824248),"5140, Jackson Street, 70067, Jackson Street, Lafitte, Louisiana, United States"
POINT (-90.2398433 30.0030159),"2552, Williams Boulevard, 70062, Williams Boulevard, Kenner, LA, United States"
POINT EMPTY,
POINT (-90.1554264 30.0121772),"Eastbank Consolidated Fire Department Station 18, N Causeway Blvd #900, 70002, N Causeway Blvd #900, Metairie, LA, United States"
POINT (-90.27026328075263 30.0379424),"220, Legrande Bayou Lane, 70065, Legrande Bayou Lane, Kenner, Louisiana, United States"
POINT (-90.10417418584733 29.986456099999998),"Delgado Community College, 615, City Park Avenue, 70119, City Park Avenue, New Orleans, LA, United States"
POINT (-90.1264876 29.9728942),"101, Airline Drive, 70005, Airline Drive, Metairie, LA, United States"
POINT (-90.0784417 29.9461665),"New Orleans, Pontchartrain Expy (HOV), 70113, Pontchartrain Expy (HOV), New Orleans, LA, United States"
POINT (-89.708175 29.493867),"August Lane, 70083, Port Sulphur, Louisiana, United States"
POINT (-89.709701 29.4929),"Davis Lane, 70083, Port Sulphur, Louisiana, United States"
POINT (-90.0935253 30.4783259),"Lakeview Maria Montessori School, North Florida Street, 70433, North Florida Street, Covington, Louisiana, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-90.7392576 29.5971583),"Houma Junior High School, Saint Charles Street, 70360, Saint Charles Street, Houma, LA, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-90.08230762538903 29.9510489),"Caesars Superdome, 1500, Sugar Bowl Drive, 70112, Sugar Bowl Drive, New Orleans, LA, United States"
POINT EMPTY,
POINT (-90.0784417 29.9461665),"New Orleans, Pontchartrain Expy (HOV), 70113, Pontchartrain Expy (HOV), New Orleans, LA, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-90.2086450869469 29.9047731),"178, Millie Drive, 70094, Millie Drive, Avondale, Louisiana, United States"
POINT (-90.05848435606339 29.9072576),"1400, Huey P Long Avenue, 70053, Huey P Long Avenue, Gretna, Louisiana, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-90.0912756 29.8811508),"4300, Patriot Street, 70072, Patriot Street, Marrero, Louisiana, United States"
POINT (-90.1439679361198 29.908332),"300, 4th Street, 70094, 4th Street, Westwego, LA, United States"
POINT EMPTY,
