geometry,address
POINT (-68.3281646 47.3547801),"309, St Thomas Street, 04756, St Thomas Street, Madawaska, ME, United States"
POINT (-68.5957245 47.0362078),"3388, Aroostook Road, 04739, Aroostook Road, Eagle Lake, ME, United States"
POINT (-68.58267641396552 47.247934349999994),"Fort Kent Elementary School, 108, Pleasant Street, 04743, Pleasant Street, Fort Kent, ME, United States"
POINT (-68.5858772 47.2495824),"Fort Kent Community High School, 84, Pleasant Street, 04743, Pleasant Street, Fort Kent, ME, United States"
POINT (-68.32530309673903 47.3529312),"Madawaska Middle-High School, 135, Seventh Avenue, 04756, Seventh Avenue, Madawaska, ME, United States"
POINT (-68.3150417 47.2421736),"Wisdom Middle High School;Wisdom Middle-High School, 368, Main Street, 04772, Main Street, Saint Agatha, ME, United States"
POINT (-68.376684 47.3084296),"1, Route 1, 04745, Route 1, Frenchville, ME, United States"
POINT (-67.94169594764351 47.1610555),"Van Buren Elementar School, 169, Main Street, 04785, Main Street, Madawaska, ME, United States"
POINT (-68.5917213 47.2681086),"3, Mountain View Drive, 04743, Mountain View Drive, Fort Kent, ME, United States"
POINT (-67.79632212072269 44.6219895),"50, East Main Street, 04643, East Main Street, Harrington, ME, United States"
POINT (-68.6471536 45.2376331),"47, Bridge Street, 04493, Bridge Street, West Enfield, ME, United States"
POINT (-68.50394987777779 45.362327),"9, Main Street, 04457, Main Street, Lincoln, ME, United States"
POINT (-68.5263312 45.6109058),"1930, Medway road, 04460, Medway road, Medway, ME, United States"
POINT (-68.52237555892602 45.360617000000005),"175, West Broadway, 04457, West Broadway, Lincoln, ME, United States"
POINT (-68.6943850489036 45.65662615),"Katahdin Health Care, 22, Walnut Street, 04462, Walnut Street, Millinocket, ME, United States"
POINT (-68.4987858 45.3783336),"15, Reed Drive, 04457, Reed Drive, Lincoln, ME, United States"
POINT (-68.2986496 45.3913851),"35, Ridge Road, 04455, Ridge Road, Lee, ME, United States"
POINT (-69.866242 44.5041002),"4, Clement Way, 04917, Clement Way, Belgrade, ME, United States"
POINT (-70.7912353 44.4102242),"32, Railroad Street, 04217, Railroad Street, Bethel, ME, United States"
POINT (-69.88167459515671 45.05288505),"Bingham Area Health Center, 237, Main Street, 04920, Main Street, Bingham, ME, United States"
