geometry,address
POINT EMPTY,
POINT (-86.85049 33.532639),"Arkadelphia Road, 35204, Birmingham, Alabama, United States"
POINT EMPTY,
POINT (-86.9152076 33.48727),"SE Corner of Av C & Valley Rd, Avenue C, 35064, Avenue C, Fairfield, Alabama, United States"
POINT (-86.89721009042844 33.5122545),"Cahaba Medical Care Ensley, 1925, Avenue E, 35218, Avenue E, Birmingham, AL, United States"
POINT EMPTY,
POINT (-86.9371262 33.4573418),"Oakland Drive, 35064, Midfield, Alabama, United States"
POINT (-87.3190302 32.6329025),"Washington Street, 36756, Marion, Alabama, United States"
POINT (-86.85449668341838 33.492995050000005),"Cahaba Medial Care West End, 1308, Tuscaloosa Avenue, 35211, Tuscaloosa Avenue, Birmingham, AL, United States"
POINT (-86.85449668341838 33.492995050000005),"Cahaba Medial Care West End, 1308, Tuscaloosa Avenue, 35211, Tuscaloosa Avenue, Birmingham, AL, United States"
POINT EMPTY,
POINT (-86.30431543148197 32.37693405),"Alabama Supreme Court, South Hull Street, 36104, South Hull Street, Montgomery, Alabama, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-86.2836941 32.3705174),"Health Services Inc., 1845, Cherry Street, 36107, Cherry Street, Montgomery, AL, United States"
POINT (-86.2836941 32.3705174),"Health Services Inc., 1845, Cherry Street, 36107, Cherry Street, Montgomery, AL, United States"
POINT (-87.0386332 32.4316435),"Highland Avenue, 36701, Selma, Alabama, United States"
POINT (-87.822696 32.503892),"Elva Avenue, 36732, Demopolis, Alabama, United States"
POINT (-87.3190302 32.6329025),"Washington Street, 36756, Marion, Alabama, United States"
POINT EMPTY,
POINT (-87.03810996448289 32.402956950000004),"Bloch Park Playground, Marina Drive, 36701, Marina Drive, Selma, Alabama, United States"
POINT (-87.624115 32.265621),"Main Street, 36783, Thomaston, Alabama, United States"
POINT (-87.738036 31.913707),"Wilson Avenue, 36784, Thomasville, Alabama, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-87.5958396 32.7045753),"Greensboro, 36744, Alabama, United States"
POINT (-87.57686565281915 33.18697385),"Maude L. Whatley Health Center, 2731, Martin Luther King Jr Boulevard, 35401, Martin Luther King Jr Boulevard, Tuscaloosa, AL, United States"
POINT (-87.57686565281915 33.18697385),"Maude L. Whatley Health Center, 2731, Martin Luther King Jr Boulevard, 35401, Martin Luther King Jr Boulevard, Tuscaloosa, AL, United States"
POINT EMPTY,
POINT (-88.29542 32.488123),"Derby Drive, 36925, York, Alabama, United States"
POINT (-87.57686565281915 33.18697385),"Maude L. Whatley Health Center, 2731, Martin Luther King Jr Boulevard, 35401, Martin Luther King Jr Boulevard, Tuscaloosa, AL, United States"
POINT (-87.8869381 32.8408553),"Morrow Avenue, 35462, Eutaw, Alabama, United States"
POINT EMPTY,
POINT (-86.80777047643541 33.624436450000005),"218, Fulton Springs Pl, 35068, Fulton Springs Pl, Fultondale, AL, United States"
POINT (-87.7772218 31.7087681),"Grove Hill, 36451, Alabama, United States"
POINT (-87.86607058568516 32.09628085),"Sweet Water High School, Main Street, 36782, Main Street, Sweet Water, Alabama, United States"
POINT (-87.740812 31.942958),"Old Hwy 43, 36784, Thomasville, Alabama, United States"
POINT (-90.23120345356219 38.629824),"400, Edwin Street, 63103, Edwin Street, Saint Louis, MO, United States"
POINT (-90.23054796822336 38.615401750000004),"1715-1717, Longfellow Place, 63104, Longfellow Place, Saint Louis, MO, United States"
POINT (-90.22073619425454 38.60905785),"2220, Indiana Avenue, 63104, Indiana Avenue, Saint Louis, MO, United States"
POINT (-90.23850996475858 38.64457324999999),"3934, Enright Avenue, 63108, Enright Avenue, Saint Louis, MO, United States"
POINT (-90.25050624712838 38.6499146),"4414, Enright Avenue, 63108, Enright Avenue, Saint Louis, MO, United States"
POINT (-90.20317398127413 38.6334035),"Ventana Lofts, 1635, Washington Avenue, 63103, Washington Avenue, Saint Louis, MO, United States"
POINT EMPTY,
