geometry,address
POINT (-78.8134488 42.9445724),"3297, Bailey Avenue, 14215, Bailey Avenue, Buffalo, NY, United States"
POINT (-78.7793804 42.9279924),"7 A, Trent Square, 14225, Trent Square, Cheektowaga, NY, United States"
POINT (-78.8785882 42.8909464),"206, South Elmwood Avenue, 14201, South Elmwood Avenue, Buffalo, NY, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-112.539974 45.9984665),"Southwest Montana Community Health Center, 445, Centennial Avenue, 59701, Centennial Avenue, Butte, MT, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-112.535934 45.9985172),"Butte Family Planning, 25, West Front Street, 59701, West Front Street, Butte, MT, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-111.17294010329306 45.774750749999995),"Belgrade Skatepark, East Main Street, 59714, East Main Street, Belgrade, MT, United States"
POINT EMPTY,
POINT (-111.17863384454759 45.781820999999994),"Belgrade High School, 303, North Hoffman Street, 59714, North Hoffman Street, Belgrade, MT, United States"
POINT EMPTY,
POINT (-111.0725507 45.6889859),"27th & Annie, Annie Street, 59718, Annie Street, Bozeman, MT, United States"
POINT (-111.103922 44.6583707),"West Yellowstone Clinic, 11, South Electric Street, 59758, South Electric Street, West Yellowstone, MT, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-114.3337673 48.2387589),"Michaels, 145, Treeline Road, 59901, Treeline Road, Kalispell, MT, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-104.1576459 47.7151164),"Stockman Bank, S Central Avenue, 59270, S Central Avenue, Sidney, MT, United States"
POINT (-112.3301089 48.6354513),"Cut Bank Police Department, East Main Street, East Main Street, Cut Bank, MT, United States"
POINT (-112.3301089 48.6354513),"Cut Bank Police Department, East Main Street, East Main Street, Cut Bank, MT, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-114.013779 46.8498292),"W Sussex Ave & Stephens Ave, 2307 Stephens Avenue, 59801, 2307 Stephens Avenue, Missoula, MT, United States"
POINT (-113.99634739949838 46.8759035),"323, West Alder Street, 59802, West Alder Street, Missoula, MT, United States"
POINT (-113.9947089 46.8714127),"First Montana Bank, 201, North Higgins Avenue, 59801, North Higgins Avenue, Missoula, MT, United States"
POINT (-113.99654307199988 46.87702445),"Partnership Health Center, 401, West Railroad Street, 59802, West Railroad Street, Missoula, MT, United States"
POINT (-114.00896728843986 46.8768064),"Poverello Center, 1110, West Broadway Street, 59802, West Broadway Street, Missoula, MT, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-114.08780053891442 46.91686665),"Missoula International Airport, Trumpeter Way, 59808, Trumpeter Way, Missoula, MT, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-106.26742916410046 45.5917058),"Ashland Community Health Center, 501, Main Street, 59003, Main Street, Ashland, Montana, United States"
POINT (-107.605642 45.7327557),"Hardin Fire Department, North Center Avenue, 59034, North Center Avenue, Hardin, MT, United States"
POINT (-106.63486460199032 45.88495735),"Colstrip Medical Center, 6230, Main Street, 59323, Main Street, Colstrip, Montana, United States"
POINT (-107.4611944 45.6016413),"Crow Agency Police Department, Makawasha Avenue, 59022, Makawasha Avenue, Crow Agency, MT, United States"
POINT (-107.4583198 45.6000243),"Makata Street, 59022, Crow Agency, Montana, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-107.6055634 45.735912299999995),"Lariat Country Kitchen, 721, North Center Avenue, 59034, North Center Avenue, Hardin, MT, United States"
POINT EMPTY,
POINT (-109.4302588 47.0622886),"Lewistown Public Library, West Main Street, 59457, West Main Street, Lewistown, MT, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-109.23310378439166 48.5913724),"Sweet Medical Center, 419, Pennsylvania Street, 59523, Pennsylvania Street, Chinook, MT, United States"
POINT EMPTY,
POINT (-107.3955791 45.1290063),"Wyola Post Office, Mondell Avenue, 59089, Mondell Avenue, MT, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-111.37557897482165 47.4800263),"Great Falls International Airport, 31st Street Southwest, 59404, 31st Street Southwest, MT, United States"
POINT EMPTY,
POINT (-111.37557897482165 47.4800263),"Great Falls International Airport, 31st Street Southwest, 59404, 31st Street Southwest, MT, United States"
POINT (-110.9241173 47.4309752),"Community Church, Belt Creek Road, 59412, Belt Creek Road, Belt, MT, United States"
POINT (-110.9241173 47.4309752),"Community Church, Belt Creek Road, 59412, Belt Creek Road, Belt, MT, United States"
POINT (-111.2935054 47.5050301),"Lithia Subaru of Great Falls, Central Avenue, 59401, Central Avenue, Great Falls, MT, United States"
POINT (-111.3321676 47.4826479),"23rd Avenue Southwest, 59404, Great Falls, Montana, United States"
POINT (-111.37557897482165 47.4800263),"Great Falls International Airport, 31st Street Southwest, 59404, 31st Street Southwest, MT, United States"
POINT (-111.23951638085651 47.50555425),"Bitterroot Hall Deaf/Hard of Hearing Dept, 3911, Central Avenue, 59401, Central Avenue, Great Falls, MT, United States"
POINT (-110.5592867 45.6605278),"Community Health Partners, 112, West Lewis Street, 59047, West Lewis Street, Livingston, Montana, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
