geometry,address
POINT (-96.4311548 42.4582161),"South Sioux City Clinic, 3410, Futures Drive, 68776, Futures Drive, South Sioux City, Nebraska, United States"
POINT EMPTY,
POINT (-84.36084917944643 46.15433505),"Pickford Public Schools, 333, South Pleasant Street, 49774, South Pleasant Street, Pickford, MI, United States"
POINT (-83.3530848 44.4361001),"1st Street, 48750, Oscoda Township, Michigan, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-83.464048 45.079006),"Long Rapids Plaza, 49707, Alpena, Michigan, United States"
POINT (-83.54369426125422 44.464172649999995),"Oscoda Township, 48750, Michigan, United States"
POINT (-84.9545361851305 45.37137205),"Central Elementary School, 410, State Street, 49770, State Street, Petoskey, MI, United States"
POINT (-84.69159185332637 45.4311966),"2220, Resort Road, 49717, Resort Road, Alanson, MI, United States"
POINT (-84.47341 45.64847),"North Main Street, 49721, Cheboygan, Michigan, United States"
POINT (-84.996633 45.434383),"Birch Court, 49740, Harbor Springs, Michigan, United States"
POINT (-84.96996935299376 45.370823099999996),"Lincoln Elementary School, 616, Connable Avenue, 49770, Connable Avenue, Petoskey, MI, United States"
POINT (-84.6839801 45.037579),"North Ohio Avenue, 49735, Gaylord, Michigan, United States"
POINT (-84.94349454008665 45.368153),"Ottawa Elementary School, 871, Kalamazoo Avenue, 49770, Kalamazoo Avenue, Petoskey, MI, United States"
POINT (-84.784467 45.5522566),"Stimpson Street, 49769, Pellston, Michigan, United States"
POINT EMPTY,
POINT (-84.93692542534498 45.3707153),"Petoskey High School, 1500, Hill Street, 49770, Hill Street, Petoskey, MI, United States"
POINT EMPTY,
POINT (-84.36624679327252 46.173161050000004),"Pickford Township, 49774, Michigan, United States"
POINT (-84.95437157461956 45.363743799999995),"Sheridan Elementary School, 1415, Howard Street, 49770, Howard Street, Petoskey, MI, United States"
POINT (-83.35073607188127 44.641488100000004),"Harrisville Township, 48740, Michigan, United States"
POINT (-83.447037 44.971466),"US 23 South, 49707, Alpena Township, Michigan, United States"
POINT (-83.442474 44.902234),"Ossineke, 49766, Michigan, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-83.447037 44.971466),"US 23 South, 49707, Alpena Township, Michigan, United States"
POINT (-83.442474 44.902234),"Ossineke, 49766, Michigan, United States"
POINT (-83.4314692 45.0629161),"The Bluebird Boutique, 112, Water Street, 49707, Water Street, Alpena, MI, United States"
POINT EMPTY,
POINT (-84.6127621 45.40714),"McLaren Northern Michigan-Indian River Family Medicine, 6135, Cressy Street, 49749, Cressy Street, Indian River, MI, United States"
POINT (-83.42917066462016 45.069414949999995),"309, West Lake Street, 49707, West Lake Street, Alpena, MI, United States"
POINT (-85.2108294 44.1929879),"Great Lakes Family Care Clinic, 117, North Roland Street, 49657, North Roland Street, McBain, MI, United States"
POINT (-84.5945123 46.4128634),"West Lakeshore Drive, 49715, Brimley, Michigan, United States"
POINT (-84.6012487 46.4516503),"Bay Mills Health Clinic, 12124, West Lakeshore Drive, 49715, West Lakeshore Drive, Brimley, MI, United States"
POINT (-85.210089 44.9784442),"North Bridge Street, 49615, Bellaire, Michigan, United States"
POINT (-85.137911 45.1499521),"East Jordan Family Pharmacy, 601, Bridge Street, 49727, Bridge Street, East Jordan, MI, United States"
POINT (-84.1861842628528 44.29479685),"West Branch Township, 48661, Michigan, United States"
POINT (-84.1861842628528 44.29479685),"West Branch Township, 48661, Michigan, United States"
POINT (-84.7252261 44.2954464),"Houghton Lake High School, 4433, West Houghton Lake Drive, 48629, West Houghton Lake Drive, Houghton Lake, MI, United States"
POINT (-84.8 44.3341667),"MidMichigan Health Park, 9249, West Lake City Road, 48629, West Lake City Road, Houghton Lake, MI, United States"
POINT (-84.778873025 44.49998635),"9945 W Higgins Lake Dr, Roscommon, MI 48653, Lyon Township, Michigan, United States"
POINT (-84.43093 44.4943976),"East Sunset Drive, 48653, Au Sable Township, Michigan, United States"
POINT (-85.64663583026739 44.7761469),"Northwest Michigan Health Services, 10767, East Traverse Highway, 49684, East Traverse Highway, Traverse City, MI, United States"
POINT (-85.64663583026739 44.7761469),"Northwest Michigan Health Services, 10767, East Traverse Highway, 49684, East Traverse Highway, Traverse City, MI, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-83.8074186 44.3779643),"West Main Street, 48739, Hale, Michigan, United States"
POINT EMPTY,
POINT (-84.0112937 44.0337874),"Sterling Area Health Center, 725, East State Street, 48659, East State Street, Sterling, MI, United States"
POINT (-84.1861842628528 44.29479685),"West Branch Township, 48661, Michigan, United States"
POINT EMPTY,
POINT (-84.152988 44.98565),"County Road 489, 49709, Atlanta, Michigan, United States"
POINT (-84.47072055559461 45.63901645),"East Elementary School, 440, Garfield Avenue, 49724, Garfield Avenue, Cheboygan, MI, United States"
POINT (-84.4825386 45.6340438),"West Lincoln Avenue, 49721, Cheboygan, Michigan, United States"
POINT (-84.4825386 45.6340438),"West Lincoln Avenue, 49721, Cheboygan, Michigan, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-83.8032955 44.3780209),"1st Street, 48739, Hale, Michigan, United States"
POINT EMPTY,
POINT (-84.00201266331004 45.06977415),"Hillman Township, 49746, Michigan, United States"
POINT (-84.6251 45.376135),"Wilson Road, 49749, Indian River, Michigan, United States"
POINT (-84.62380157979466 45.3987377),"Inland Lakes School, 4363, South Straits Highway, 49749, South Straits Highway, Indian River, MI, United States"
POINT (-81.5699358 30.1883722),"9622, Florida Mining Boulevard East, 32257, Florida Mining Boulevard East, Jacksonville, FL, United States"
POINT (-84.3016765929851 44.88881775),"Lewiston Elementary School, 4580, Montmorency St, 49756, Montmorency St, Lewiston, MI, United States"
POINT (-84.727828 45.783901),"Mackinaw City, 49701, Michigan, United States"
POINT (-83.9026903 45.0703317),"Caring Street, 49746, Hillman, Michigan, United States"
POINT (-84.2338889 45.3458333),"Onaway Assembly of God Church, M 33, 49765, M 33, Onaway, MI, United States"
POINT (-83.69710065356956 45.2679967),"Posen Consolidated School, 10575, Michigan Avenue, 49776, Michigan Avenue, Posen, MI, United States"
POINT (-83.82250829614686 45.417324),"Rogers City Elementary School, 532, West Erie Street, 49779, West Erie Street, Rogers City, MI, United States"
POINT (-76.91852532306639 44.48937535339778),"1428, Rogers Road, K0K 1Z0, Rogers Road, Stone Mills, Ontario, Canada"
POINT (-84.1861842628528 44.29479685),"West Branch Township, 48661, Michigan, United States"
POINT (-84.1494153 45.0074275),"State Highway 32 West, 49709, Atlanta, Michigan, United States"
POINT EMPTY,
POINT (-84.00201266331004 45.06977415),"Hillman Township, 49746, Michigan, United States"
POINT EMPTY,
POINT (-83.8265349 45.4111677),"Thunder Bay Community Health Service, 205, South Bradley Highway, 49779, South Bradley Highway, Rogers City, MI, United States"
POINT EMPTY,
POINT (-84.5979603 45.2740462),"1st Street, 49799, Wolverine, Michigan, United States"
POINT (-84.6068402 45.2722557),"Brook Street, 49799, Wolverine, Michigan, United States"
POINT (-85.5952942 44.7582584),"South Garfield Avenue, 49686, Traverse City, Michigan, United States"
POINT (-85.5952942 44.7582584),"South Garfield Avenue, 49686, Traverse City, Michigan, United States"
POINT (-88.4545119 47.2351674),"Calumet Avenue, 49913, Osceola, Michigan, United States"
POINT (-87.4511567 46.2857702),"State Highway 35, 49841, Gwinn, Michigan, United States"
POINT (-88.5859402 47.1395731),"Marquette Medical Clinic, 500, Campus Drive, 49930, Campus Drive, Hancock, MI, United States"
POINT (-88.5464658 47.1132008),"Portage Medical Group, 600, Macinnes Drive, 49931, Macinnes Drive, Houghton, MI, United States"
POINT (-88.6195773 46.1006294),"UP Health System - Iron River, 1500, West Ice Lake Road, 49935, West Ice Lake Road, Iron River, MI, United States"
POINT (-88.407427 47.1940052),"Lake Linden-Hubbell School, 601, Calumet Street, 49945, Calumet Street, Lake Linden, MI, United States"
POINT EMPTY,
POINT (-87.358850546225 46.3344817),"Sawyer Medical Center, 301, Explorer Street, 49841, Explorer Street, Gwinn, MI, United States"
POINT (-88.462967 47.248115),"1st Street, 49913, Calumet Township, Michigan, United States"
POINT (-85.8523568 43.9041616),"Baldwin Family Health Care Clinic, 1615, North Michigan Avenue, 49304, North Michigan Avenue, Baldwin, MI, United States"
POINT (-85.480501 43.699685),"North Warren Avenue, 49307, Big Rapids, Michigan, United States"
POINT (-85.4057164 44.2664697),"Walgreens, 1220, North Mitchell Street, 49601, North Mitchell Street, Cadillac, MI, United States"
POINT EMPTY,
POINT (-85.77398511933563 43.559319),"White Cloud Airport, Benson Street, 49349, Benson Street, White Cloud, Michigan, United States"
POINT (-85.4962573 43.68916),"Water Tower Road, 49307, Big Rapids, Michigan, United States"
POINT (-85.810602 43.3297038),"South Maple Street, 49327, Grant, Michigan, United States"
POINT (-85.7632217 43.5505366),"East Wilcox Avenue, 49349, White Cloud, Michigan, United States"
POINT (15.6770989 40.9265041),"Via Michele Granata, 85022, Rionero in Vulture, Basilicata, Italia"
POINT (-85.3849461 44.2442108),"Great Lakes Family Care, 520, Cobb Street, 49601, Cobb Street, Cadillac, MI, United States"
POINT (-85.49039139518366 44.0649234),"Pine River Area High School, 17445, Pine River Road, 49655, Pine River Road, Leroy, MI, United States"
POINT (-85.7632217 43.5505366),"East Wilcox Avenue, 49349, White Cloud, Michigan, United States"
POINT (-85.2845666 42.6478093),"South Boltwood Street, 49058, Hastings, Michigan, United States"
POINT (-85.53843781235945 43.217493),"Cedar Springs High School, 204, East Muskegon Street, 49319, East Muskegon Street, Cedar Springs, Michigan, United States"
POINT (-85.2530249 43.1878742),"North Lafayette Street, 48838, Greenville, Michigan, United States"
POINT (-85.2262362 43.0980187),"Alvah N. Belding Memorial Library, Park Street, 48809, Park Street, Belding, Michigan, United States"
POINT EMPTY,
POINT (-86.2370531 43.1703365),"Muskegon County Airport, Sinclair Drive, 49441, Sinclair Drive, Norton Shores, MI, United States"
POINT (-86.10844018466284 43.244269450000004),"Oakridge Middle School, 251, South Wolf Lake Road, 49442, South Wolf Lake Road, Muskegon, MI, United States"
POINT (-86.1079388 43.2443818),"Oakridge Upper Elementary School, 481, South Wolf Lake Road, 49442, South Wolf Lake Road, Muskegon, MI, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-84.71145852791786 43.17425780000001),"Fulton Public Schools, 8060, South Ely Highway, 48856, South Ely Highway, Middleton, MI, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-84.8003137568557 43.601050799999996),"Mount Pleasant Middle School, 440, South Bradley Street, 48858, South Bradley Street, Mount Pleasant, MI, United States"
POINT (-84.77105139145428 43.57762285),"Kelly/Shorts Stadium, East Campus Drive, 48859, East Campus Drive, Mount Pleasant, Michigan, United States"
POINT EMPTY,
POINT (-90.489648 38.5196128),"1830, Hawkins Place, 63026, Hawkins Place, Missouri, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-86.3067037 44.2216489),"26th Street, 49660, Oak Hill, Michigan, United States"
POINT (-86.30665 44.2243649),"23rd Street, 49660, Oak Hill, Michigan, United States"
POINT EMPTY,
POINT (-86.306556 44.233181),"14th Street, 49660, Manistee, Michigan, United States"
POINT (-86.33795121652116 43.5974492),"Shelby Township, 49455, Michigan, United States"
POINT EMPTY,
POINT (-86.33795121652116 43.5974492),"Shelby Township, 49455, Michigan, United States"
POINT (-85.6621577 42.9972756),"Lafayette Avenue Northeast, 49505, Grand Rapids, Michigan, United States"
POINT (-85.64434349999999 42.966845500000005),"200, Diamond Avenue Northeast, 49503, Diamond Avenue Northeast, Grand Rapids, MI, United States"
POINT (-85.68803545 42.99342315),"1628, Alpine Avenue Northwest, 49504, Alpine Avenue Northwest, Grand Rapids, MI, United States"
POINT (-85.663255 43.002706),"Swensberg Avenue Northeast, 49505, Grand Rapids, Michigan, United States"
POINT (-85.5577618 42.9844653),"Leonard Street Northeast, 49525, Grand Rapids Charter Township, Michigan, United States"
POINT (-85.65463264045447 42.95912615),"Cherry Street Health Center, 550, Cherry Street Southeast, 49503, Cherry Street Southeast, Grand Rapids, MI, United States"
POINT (-85.6656428 42.9419344),"Sheldon Avenue Southeast, 49503, Grand Rapids, Michigan, United States"
POINT EMPTY,
POINT (-85.66463975344388 42.969281699999996),"Spectrum Health Butterworth Hospital, 100, Michigan Street Northeast, 49503, Michigan Street Northeast, Grand Rapids, MI, United States"
POINT (-85.65834388690936 42.95908525),"Stratford Arms Apartments, 201, Morris Avenue Southeast, 49503, Morris Avenue Southeast, Grand Rapids, MI, United States"
POINT (-85.6669202638829 42.96516115),"Fountain Street Church, Fountain Street Northeast, 49503, Fountain Street Northeast, Grand Rapids, Michigan, United States"
POINT (-85.5577618 42.9844653),"Leonard Street Northeast, 49525, Grand Rapids Charter Township, Michigan, United States"
POINT (-86.2263002 43.2378149),"Oak Avenue, 49442, Muskegon, Michigan, United States"
POINT (-85.628358 42.950053),"Rosewood Avenue Southeast, 49506, East Grand Rapids, Michigan, United States"
POINT (-85.6656428 42.9419344),"Sheldon Avenue Southeast, 49503, Grand Rapids, Michigan, United States"
POINT (-85.642733 42.939589),"Kalamazoo Avenue Southeast, 49507:49508, Grand Rapids, Michigan, United States"
POINT (-85.6097309 42.9412024),"East Grand Rapids, 49506, Michigan, United States"
POINT EMPTY,
POINT (-85.686512 42.973784),"Stocking Avenue Northwest, 49504, Grand Rapids, Michigan, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-86.24341931079647 43.2044722),"Dr. Martin Luther King Academy, 55, East Sherman Boulevard, 49444, East Sherman Boulevard, Muskegon, MI, United States"
POINT EMPTY,
POINT (-86.155298 43.12215),"South 3rd Avenue, 49415, Fruitport, Michigan, United States"
POINT (-86.19646687331064 43.24331585),"Baker College of Muskegon, Roblane Street, 49442, Roblane Street, Muskegon, Michigan, United States"
POINT (-86.2022415 43.2340025),"Wesco, 1675, East Apple Avenue, 49442, East Apple Avenue, Muskegon, MI, United States"
POINT EMPTY,
POINT (-86.243095 43.217713),"Clinton Street, 49442, Muskegon, Michigan, United States"
POINT (-86.243053 43.223069),"East Forest Avenue, 49442, Muskegon, Michigan, United States"
POINT (-86.2420579 43.2105496),"Baker Street, 49444, Muskegon Heights, Michigan, United States"
POINT (-86.229222 43.2341999),"East Apple Avenue, 49442, Muskegon, Michigan, United States"
