geometry,address
POINT (-87.4082887 41.573532),"Calhoun Street, 46408, Gary, Indiana, United States"
POINT (-87.3181657 41.5408709),"Martin Luther King Drive, 46409, Gary, Indiana, United States"
POINT (-87.51222229744747 41.6071332),"Hammond Central High School, 5926, Calumet Avenue, 46320, Calumet Avenue, Hammond, IN, United States"
POINT (-87.31724870314447 41.506642049999996),"McDonald's, 6100, Mississippi Street, 46410, Mississippi Street, Merrillville, IN, United States"
POINT (-87.2370544 41.6204625),"North Shelby Street, 46403, Gary, Indiana, United States"
POINT (-87.4999559 41.6160588),"Columbia Avenue, 46320, Hammond, Indiana, United States"
POINT (-87.43979769503801 41.5863205),"Morton Senior High School, 6915, Grand Avenue, 46323, Grand Avenue, Hammond, IN, United States"
POINT (-87.0528603 41.4909523),"Valley Drive, 46383, Valparaiso, Indiana, United States"
POINT (-87.4407348 41.6289494),"East Chicago Avenue, 46312, East Chicago, Indiana, United States"
POINT (-86.8821369 41.6831741),"Bosak Honda Service Center, 710, US Highway 20, 46360, US Highway 20, Michigan City, IN, United States"
POINT EMPTY,
POINT (-87.0520331 41.4896904),"Porter - Starke Services, 701, Wall Street, 46383, Wall Street, Valparaiso, IN, United States"
POINT (-87.4498096 41.6462462),"Broadway Street, 46312, East Chicago, Indiana, United States"
POINT (-87.0997727 41.5116222),"North 175 West, 46385, Valparaiso, Indiana, United States"
POINT (-86.7277182 41.6075914),"Teegarden Street, 46350, La Porte, Indiana, United States"
POINT EMPTY,
POINT (-87.0647864 41.6116218),"Broadway, 46304, Chesterton, Indiana, United States"
POINT (-87.0647864 41.6116218),"Broadway, 46304, Chesterton, Indiana, United States"
POINT (-87.0720573 41.6105072),"West Indiana Avenue, 46304, Chesterton, Indiana, United States"
POINT EMPTY,
POINT (-87.33261786242099 41.4219504),"Strack & Van Til, 10851, Broadway, 46307, Broadway, Crown Point, IN, United States"
POINT (-87.2700594 41.5697164),"Central Avenue, 46405, Lake Station, Indiana, United States"
POINT (-87.2427811 41.5765527),"Parkside Avenue, 46405, Lake Station, Indiana, United States"
POINT (-87.2700594 41.5697164),"Central Avenue, 46405, Lake Station, Indiana, United States"
POINT (-86.7206352852451 41.61120525),"714, Lincolnway, 46350, Lincolnway, La Porte, IN, United States"
POINT (-86.72708083547047 41.6008693),"602, F Street, 46350, F Street, La Porte, IN, United States"
POINT (-87.3359583 41.4848244),"Broadway, 46410, Merrillville, Indiana, United States"
POINT EMPTY,
POINT (-87.23193145009623 41.5199671),"Hobart High School, East 10th Street, 46342, East 10th Street, Hobart, IN, United States"
POINT EMPTY,
POINT (-87.4703094 41.4590228),"Wicker Avenue, 46373, Saint John, Indiana, United States"
POINT (-87.1622846 41.5506119),"US 6, 46368, Portage, Indiana, United States"
POINT EMPTY,
POINT (-87.1797353 41.388906),"South State Road 2, 46341:46385, Hebron, Indiana, United States"
POINT (-87.1800674 41.5594464),"Lancer Street, 46368, Portage, Indiana, United States"
POINT (-87.3695189 41.608118),"104, Ellsworth Street, 46404, Ellsworth Street, Gary, IN, United States"
POINT (-87.4783743 41.5961467),"WJOB-AM (Hammond), 165th Street, 46323, 165th Street, Hammond, Indiana, United States"
POINT (-87.5173353 41.6287409),"Hohman Avenue, 46327, Hammond, Indiana, United States"
POINT (-87.4783743 41.5961467),"WJOB-AM (Hammond), 165th Street, 46323, 165th Street, Hammond, Indiana, United States"
POINT (-87.3635635 41.463382),"Regional Mental Health Center - Strawhun Center, 8555, Taft Street, 46410, Taft Street, Merrillville, IN, United States"
POINT EMPTY,
POINT (-87.4548466 41.6397857),"East Chicago, 46312, Indiana, United States"
