geometry,address
POINT (-76.7534138 36.4088446),"Gateway Community Health Center, 501, Main Street, 27938, Main Street, Gatesville, NC, United States"
POINT EMPTY,
POINT (-76.22306717576618 36.296246),"201, East Ehringhaus Street, 27909, East Ehringhaus Street, Elizabeth City, NC, United States"
POINT EMPTY,
POINT (-76.7534138 36.4088446),"Gateway Community Health Center, 501, Main Street, 27938, Main Street, Gatesville, NC, United States"
POINT EMPTY,
POINT (-77.66940749231668 35.4799319),"140, School Drive, 28580, School Drive, Snow Hill, NC, United States"
POINT (-77.6815106 35.4539294),"Greene Dental Services, 6, Professional Drive, 28580, Professional Drive, Snow Hill, NC, United States"
POINT EMPTY,
POINT (-77.6822343 35.4536755),"Kate B. Reynolds Medical Center, 205, Martin Luther King Jr Parkway, 28580, Martin Luther King Jr Parkway, Snow Hill, NC, United States"
POINT (-77.67074743735144 35.45577695),"Snow Hill Medical Center, 302, North Greene Street, 28580, North Greene Street, Snow Hill, NC, United States"
POINT EMPTY,
POINT (-77.67074743735144 35.45577695),"Snow Hill Medical Center, 302, North Greene Street, 28580, North Greene Street, Snow Hill, NC, United States"
POINT (-77.6605285 35.4415184),"Kerr Drug, 1106, Kingold Boulevard, 28580, Kingold Boulevard, Snow Hill, NC, United States"
POINT EMPTY,
POINT (-76.759991 35.852247),"115, Bateman Street, 27962, Bateman Street, Plymouth, NC, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-77.7759625 35.9435649),"KFC, North Fairview Road, 27801, North Fairview Road, Rocky Mount, NC, United States"
POINT EMPTY,
POINT (-77.7976307 35.9379688),"Rocky Mount, Florida Avenue, 27802, Florida Avenue, Rocky Mount, NC, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-76.76892545932836 36.2014384),"Colerain Primary Care, 109, West River Street, 27924, West River Street, Colerain, NC, United States"
POINT (-76.391922 35.867468),"North 4th Street, 27928, Creswell, North Carolina, United States"
POINT EMPTY,
POINT (-77.08847490235155 36.4395344),"Murfreesboro Primary Care, 305, Beechwood Boulevard, 27855, Beechwood Boulevard, Murfreesboro, NC, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-77.64630314414858 36.43196555),"250, Smith Church Road, 27870, Smith Church Road, Roanoke Rapids, NC, United States"
POINT EMPTY,
POINT (-77.91419999789181 36.436763150000004),"Rural Health Group, Inc. - Littleton, 108, North Mosby Avenue, 27850, North Mosby Avenue, Littleton, NC, United States"
POINT (-78.20146994342483 36.44457225),"Carquest, 110, US-1, 27563, US-1, Norlina, NC, United States"
POINT (-77.28579930121293 36.27282165),"Rural Health Group, Inc. - Rich Square, 200, South Main Street, 27869, South Main Street, Rich Square, NC, United States"
POINT (-77.6573047 36.4553885),"Roanoke Rapids Police Department, Roanoke Ave, 27870, Roanoke Ave, Roanoke Rapids, NC, United States"
