geometry,address
POINT (-155.9940463 19.6670542),"Keanalehu Drive, 96740, Kailua-Kona, Hawaii, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-80.7560189 32.4215676),"Broad River Elementary School, 474, Broad River Boulevard, 29906, Broad River Boulevard, Beaufort, SC, United States"
POINT EMPTY,
POINT (-80.7109027 32.5551813),"James J Davis Early Learning Center, 364, Keans Neck Road, 29940, Keans Neck Road, Seabrook, SC, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-80.5636417 32.4014208),"Saint Helena Elementary School, 1025, Sea Island Parkway, 29920, Sea Island Parkway, St Helena Island, SC, United States"
POINT EMPTY,
POINT (-80.7447487 32.5333695),"Whale Branch Middle School, 15, Stuart Point Road, 29940, Stuart Point Road, Seabrook, SC, United States"
POINT (-80.7416527 32.5329661),"Whale Branch Elementary School, 2009, Trask Parkway, 29906, Trask Parkway, Seabrook, SC, United States"
POINT (-79.97228244007634 33.1930974),"Whitesville School, Stoney Landing Road, 29461, Stoney Landing Road, Moncks Corner, SC, United States"
POINT (-80.2183 32.9862),"Summerville Wastewater Treatment Facility, Orangeburg Road, 29483, Orangeburg Road, Summerville, SC, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-80.07125875874127 32.76479315),"771, Brownswood Road, 29455, Brownswood Road, Johns Island, SC, United States"
POINT (-80.0264455 33.2018508),"Berkeley High School, North Williams Drive, 29461, North Williams Drive, Moncks Corner, South Carolina, United States"
POINT (-80.15218027279273 33.03892175),"Wyndham Garden Summerville, 120, Holiday Drive, 29483, Holiday Drive, Summerville, SC, United States"
POINT (-80.1756197 33.0201426),"Cuppa Manna, 100, South Main Street, 29483, South Main Street, Summerville, SC, United States"
POINT EMPTY,
POINT (-81.0581261 33.9761947),"Cayce School, Poplar Street, 29033, Poplar Street, Cayce, South Carolina, United States"
POINT (-81.084791 33.996333),"North Brown Street, 29169, West Columbia, South Carolina, United States"
POINT (-81.5305375 33.9135345),"Batesburg-Leesville Town Hall, 120, West Church Street, 29070, West Church Street, Batesburg-Leesville, SC, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-81.26604894903679 33.355699099999995),"Family Medical Center of Blackville, 130, Baker Street, 29817, Baker Street, Blackville, SC, United States"
POINT EMPTY,
POINT (-81.3576067 33.2412623),"Barnwell County Library, Marlboro Avenue, 29812, Marlboro Avenue, Barnwell, SC, United States"
POINT (-81.8295612 33.41023),"The Runs Baptist Church, Williston Road, 29803, Williston Road, SC, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-81.8570922 34.464225),"Highway 76 East, 29325, Clinton, South Carolina, United States"
POINT (-80.74231580921052 43.55910893815789),"5144, Schummer Line, N0B 2A0, Schummer Line, Wellesley, Ontario, Canada"
POINT (-81.8570922 34.464225),"Highway 76 East, 29325, Clinton, South Carolina, United States"
POINT (-82.284721 33.9057065),"South Main Street, 29835, McCormick, South Carolina, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-82.16821883701449 34.1710049),"The Children's Center, 113, Liner Drive, 29647, Liner Drive, Greenwood, South Carolina, United States"
POINT (-82.23878050638129 34.393301),"Ware Shoals High School, Greenwood Avenue South, 29692, Greenwood Avenue South, Ware Shoals, South Carolina, United States"
POINT (-82.1947945 34.2040887),"Batteries Plus Bulbs, 531A, Bypass 72 Northwest, 29646, Bypass 72 Northwest, Greenwood, SC, United States"
POINT (-82.15741388150624 34.17165275),"Village Family Practice, 420, Epting Avenue, 29646, Epting Avenue, Greenwood, South Carolina, United States"
POINT (-81.415108 34.1965976),"Mill Street, 29075, Little Mountain, South Carolina, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-82.8402183212439 34.6793684),"Central Energy Facilities, 110, Service Drive, 29634, Service Drive, Clemson, SC, United States"
POINT EMPTY,
POINT (-82.93754245072748 34.700460899999996),"CVS Pharmacy, 210, Ingles Place, 29678, Ingles Place, Seneca, SC, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-82.41508144352085 34.8391178),"130, Mallard Street, 29601, Mallard Street, Greenville, SC, United States"
POINT (-82.2230721 34.9464307),"New Horizon, 111, Berry Avenue, 29651, Berry Avenue, Greer, SC, United States"
POINT (-82.41508144352085 34.8391178),"130, Mallard Street, 29601, Mallard Street, Greenville, SC, United States"
POINT (-82.42079338593325 34.81644555),"New Horizon Family Health Service, 1, Memorial Medical Drive, 29605, Memorial Medical Drive, Greenville, SC, United States"
POINT (-82.41430209792799 34.8158897),"New Horizon Family Health Services, 975, West Faris Road, 29605, West Faris Road, Greenville, SC, United States"
POINT (-82.42186575654964 34.84456575),"Pendleton Place, 1133, Pendleton Street, 29601, Pendleton Street, Greenville, SC, United States"
POINT (-82.47312452143638 34.9965622),"1588, Geer Highway, 29690, Geer Highway, Travelers Rest, SC, United States"
POINT (-81.9442079 34.9649588),"764, North Church Street, 29303, North Church Street, Spartanburg, SC, United States"
POINT (-81.84645328090909 34.929173000000006),"460, Dogwood Club Road, 29302, Dogwood Club Road, Spartanburg, SC, United States"
POINT (-82.37411955971305 34.822177800000006),"1400, Cleveland Street, 29607, Cleveland Street, Greenville, SC, United States"
POINT (-81.93171448436479 34.932983),"750, South Church Street, 29306, South Church Street, Spartanburg, SC, United States"
POINT (-81.92354058264512 34.95917335),"362, North Pine Street, 29302, North Pine Street, Spartanburg, SC, United States"
POINT (-81.84645328090909 34.929173000000006),"460, Dogwood Club Road, 29302, Dogwood Club Road, Spartanburg, SC, United States"
POINT (-81.9054336 34.9600578),"945, East Main Street, 29302, East Main Street, Spartanburg, SC, United States"
POINT (-82.0977927 34.9047225),"FirstChoice Pharmacy, 1663, East Main Street, 29334, East Main Street, Duncan, SC, United States"
POINT (-81.95169575002865 34.92993575),"301, Crescent Avenue, 29306, Crescent Avenue, Spartanburg, SC, United States"
POINT (-82.03841805567221 34.7425003),"Regenesis, 220, Irby Street, 29388, Irby Street, Woodruff, SC, United States"
POINT (-81.96916849432738 34.952931050000004),"Spartanburg Methodist College, Justice Drive, 29301, Justice Drive, SC, United States"
POINT EMPTY,
POINT (-81.2475737 34.984302),"Jefferson Primary School, Pinckney Street, 29745, Pinckney Street, York, South Carolina, United States"
POINT EMPTY,
POINT (-81.2388436 34.9672803),"York Middle School, Devinney Rd, 29745, Devinney Rd, York, South Carolina, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-81.02628803539963 34.9199549),"423, Saluda Street, 29730, Saluda Street, Rock Hill, SC, United States"
POINT EMPTY,
POINT (-81.12053003042917 34.7394958),"Chester Engineered Wood, Lancaster Hwy, 29706, Lancaster Hwy, SC, United States"
POINT EMPTY,
POINT (-81.03057046376733 34.92567955),"Huckle Grove Park, 103, West Black Street, 29730, West Black Street, Rock Hill, SC, United States"
POINT EMPTY,
POINT (-81.03476300792752 34.941468099999994),"Wofford Hall, 1140, President's Circle, 29731, President's Circle, Rock Hill, SC, United States"
POINT (-81.0978466 34.3577264),"Winnsboro High School, US Hwy 321, 29180, US Hwy 321, Winnsboro, SC, United States"
POINT (-81.31496687574734 34.29557355),"Virgil C. Summer Nuclear Generating Station, 29065, Jenkinsville, SC, United States"
POINT (-63.48681333882117 45.291306948976164),"9443, Highway 215, Highway 215, Maitland, Nova Scotia, Canada"
POINT (-82.35686919879902 34.84167975),"21, Ridgeway Avenue, 29607, Ridgeway Avenue, Greenville, SC, United States"
POINT EMPTY,
POINT (-81.62334080588907 34.71552295),"115, East Main Street, 29379, East Main Street, Union, SC, United States"
POINT (-81.6482053 35.07382905),"Michael Gaffney Home, North Limestone Street, 29340, North Limestone Street, Gaffney, SC, United States"
POINT (-81.62334080588907 34.71552295),"115, East Main Street, 29379, East Main Street, Union, SC, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-82.39636288200036 34.8627549),"103, West Earle Street, 29609, West Earle Street, Greenville, SC, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-81.10741133777103 32.8653689),"Hampton Medical Center, 200, Elm Street East, 29924, Elm Street East, Hampton, SC, United States"
POINT EMPTY,
POINT (-81.10741133777103 32.8653689),"Hampton Medical Center, 200, Elm Street East, 29924, Elm Street East, Hampton, SC, United States"
POINT EMPTY,
POINT (-80.9869314 32.5008585),"Ridgeland-Hardeeville High School, Jaguar Trail, 29936, Jaguar Trail, South Carolina, United States"
POINT EMPTY,
POINT (-80.88298889874129 34.1112282),"Spring Valley High School, 120, Sparkleberry Lane, 29229, Sparkleberry Lane, Columbia, SC, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-81.0402962 33.9942689),"Columbia, College Street, 29201, College Street, Columbia, SC, United States"
POINT (-80.94925434879121 33.98839625),"1 TOMBEE CT, 1, Tombee Court, 29209, Tombee Court, Columbia, SC, United States"
POINT (-81.03517932871026 34.00493915),"Parking of CSH, 1426 Main street, Main Street, 29201, Main Street, Columbia, SC, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-98.22757269942767 26.238678450000002),"Ben Milam Elementary School, 3800, North Main Street, 78501, North Main Street, McAllen, TX, United States"
POINT (-81.0070963 33.9863387),"First Citizens Bank, 2600, Rosewood Drive, 29205, Rosewood Drive, Columbia, SC, United States"
POINT (-80.94976814114848 34.13089105),"1800, Kllian Lakes Drive, 29203-8826, Kllian Lakes Drive, Columbia, SC, United States"
POINT EMPTY,
POINT (-80.94925434879121 33.98839625),"1 TOMBEE CT, 1, Tombee Court, 29209, Tombee Court, Columbia, SC, United States"
POINT (-81.0358092829956 34.01386165),"Modjeska Monteith Simkins House, 2025, Marion Street, 29201, Marion Street, Columbia, SC, United States"
POINT (-80.94976814114848 34.13089105),"1800, Kllian Lakes Drive, 29203-8826, Kllian Lakes Drive, Columbia, SC, United States"
POINT (-80.94976814114848 34.13089105),"1800, Kllian Lakes Drive, 29203-8826, Kllian Lakes Drive, Columbia, SC, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-81.12266167687564 33.328142650000004),"Denmark-Olar High School, 197, Viking Circle, 29042, Viking Circle, Denmark, South Carolina, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-80.4112039 33.3196068),"Holly Hill Post Office, Gilway Street, 29059, Gilway Street, Holly Hill, SC, United States"
POINT (-80.8385582 33.5283192),"Family Health Center, 3310, Magnolia Street, 29115, Magnolia Street, Orangeburg, SC, United States"
POINT (-80.8385582 33.5283192),"Family Health Center, 3310, Magnolia Street, 29115, Magnolia Street, Orangeburg, SC, United States"
POINT (-80.8385582 33.5283192),"Family Health Center, 3310, Magnolia Street, 29115, Magnolia Street, Orangeburg, SC, United States"
POINT (-80.8385582 33.5283192),"Family Health Center, 3310, Magnolia Street, 29115, Magnolia Street, Orangeburg, SC, United States"
POINT (-80.8385582 33.5283192),"Family Health Center, 3310, Magnolia Street, 29115, Magnolia Street, Orangeburg, SC, United States"
POINT (-80.8463214 33.4724724),"South Carolina Department of Motor Vehicles Orangeburg Office, Joe S Jeffords Highway, 29115, Joe S Jeffords Highway, SC, United States"
POINT EMPTY,
POINT (-80.5754463 33.1872788),"Saint George Police Department, Ridge Street, 29477, Ridge Street, Saint George, SC, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-79.96020827174193 32.8392537),"Franklin C. Fetter Family Health Center, 2047, Comstock Avenue, 29405, Comstock Avenue, North Charleston, SC, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-80.101187 32.914815),"Max Tax, 5101, Ashley Phosphate Road, 29418, Ashley Phosphate Road, North Charleston, SC, United States"
POINT EMPTY,
POINT (-80.0018268 32.8770395),"Morningside Middle School, Singley Street, 29405, Singley Street, North Charleston, South Carolina, United States"
POINT (-79.96935925067135 32.7786138),"35 Folly, 35, Folly Road, 29407, Folly Road, Charleston, SC, United States"
POINT (-80.04598665186816 32.940560500000004),"Holiday Inn Express & Suites Charleston-Ashley Phosphate, Northwoods Boulevard, 29416, Northwoods Boulevard, North Charleston, SC, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-79.9889223 33.5814037),"Greeleyville Police Department, North Main Street, 29056, North Main Street, Greeleyville, SC, United States"
POINT EMPTY,
POINT (-79.6097867 33.5548883),"Bloomingvale School, Thurgood Marshall Highway, 29556, Thurgood Marshall Highway, Kingstree, SC, United States"
POINT (-79.7533530927569 33.87332635),"Lake City Artfields Collective, Sauls Street, 29560, Sauls Street, Lake City, South Carolina, United States"
POINT EMPTY,
POINT (-80.464194 33.738728),"West Fulton Manning Road, 29125, Pinewood, South Carolina, United States"
POINT (-80.2131309 33.6879187),"West Hospital Street, 29102, Manning, South Carolina, United States"
POINT EMPTY,
POINT (-80.2122131 33.7020823),"Manning High School, Pine Street, 29102, Pine Street, Manning, South Carolina, United States"
POINT (-80.8463214 33.4724724),"South Carolina Department of Motor Vehicles Orangeburg Office, Joe S Jeffords Highway, 29115, Joe S Jeffords Highway, SC, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-81.0309311 33.3018235),"Bamberg Ehrhardt High School, North Avenue, 29003, North Avenue, Bamberg, South Carolina, United States"
POINT EMPTY,
POINT (-86.6236067 36.3714378),"T W Hunter Middle School, Long Hollow Pike, 37116, Long Hollow Pike, Tennessee, United States"
POINT EMPTY,
POINT (-80.3684765 33.9324504),"Burger King, North Guignard Drive, 29150, North Guignard Drive, Sumter, SC, United States"
POINT (-80.3406357 33.9557124),"Sumter County Correctional Center, North Main Street, 29153, North Main Street, Sumter, SC, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-63.292745794255744 45.36635401479786),"401, Prince Street, B2N 1E6, Prince Street, Truro, Nova Scotia, Canada"
POINT (-79.6928374 34.6243247),"Bennettsville Middle School, Cheraw Street, 29512, Cheraw Street, Bennettsville, SC, United States"
POINT (-79.70567078278593 34.60986135),"Saint Lukes Church, West Main Street, 29512, West Main Street, Bennettsville, SC, United States"
POINT (-79.1670824 34.3442012),"North Kemper Street, 29563, Lake View, South Carolina, United States"
POINT (-79.869407 34.494802),"Main Street, 29593, Society Hill, South Carolina, United States"
POINT (-79.869407 34.494802),"Main Street, 29593, Society Hill, South Carolina, United States"
POINT (-79.869407 34.494802),"Main Street, 29593, Society Hill, South Carolina, United States"
POINT (-79.88254931268202 34.3192685),"Darlington Post Office, 115, East Smith Avenue, 29532, East Smith Avenue, Darlington, SC, United States"
POINT EMPTY,
POINT (-83.0691938 34.765308250000004),"Saint Johns Evangelical Lutheran Church, 301, West Main Street, 29691, West Main Street, Walhalla, SC, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-79.020038 33.8157574),"Four Oaks Motel, Highway 501 Business, 29528, Highway 501 Business, Conway, SC, United States"
POINT (-79.0472586 33.8373924),"Conway Post Office, Main Street, 29526, Main Street, conway, SC, United States"
POINT (-79.4467373 33.8184357),"Johnsonville Fire District Station 1, East Broadway Street, 29555, East Broadway Street, Johnsonville, SC, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-79.8386732 34.2570979),"Bethea Home for the Aged, Home Avenue, 29532, Home Avenue, SC, United States"
POINT (-79.76746448799639 34.20198375),"HopeHealth, 360, North Irby Street, 29506, North Irby Street, Florence, SC, United States"
POINT EMPTY,
POINT (-82.46418975077961 35.051712300000005),"210, Edwards Road, 29661, Edwards Road, Marietta, SC, United States"
POINT (-79.76502787514985 34.1944813),"Sunday School Wing, East Palmetto Street, 29502, East Palmetto Street, Florence, SC, United States"
POINT (-78.9024953 33.7200139),"Mr. Joe White Avenue, 29577, Myrtle Beach, South Carolina, United States"
POINT (-78.96514968912513 33.7615284),"Little River Medical Center, 4220, Carolina Exchange Drive, 29579, Carolina Exchange Drive, Myrtle Beach, SC, United States"
POINT (-78.5986237 33.8832278),"Little River Medical Center, 4303, Live Oak Drive, 29566, Live Oak Drive, Little River, South Carolina, United States"
POINT (-78.96514968912513 33.7615284),"Little River Medical Center, 4220, Carolina Exchange Drive, 29579, Carolina Exchange Drive, Myrtle Beach, SC, United States"
POINT (-78.96514968912513 33.7615284),"Little River Medical Center, 4220, Carolina Exchange Drive, 29579, Carolina Exchange Drive, Myrtle Beach, SC, United States"
POINT (-78.96514968912513 33.7615284),"Little River Medical Center, 4220, Carolina Exchange Drive, 29579, Carolina Exchange Drive, Myrtle Beach, SC, United States"
POINT (-78.8835436847491 34.05367445),"Loris Florist, Main Street, 29569, Main Street, Loris, SC, United States"
POINT (-78.96514968912513 33.7615284),"Little River Medical Center, 4220, Carolina Exchange Drive, 29579, Carolina Exchange Drive, Myrtle Beach, SC, United States"
POINT (-78.92905970872894 33.680640600000004),"Myrtle Beach International Airport, Harrelson Boulevard, 29577, Harrelson Boulevard, Myrtle Beach, SC, United States"
POINT (-78.96514968912513 33.7615284),"Little River Medical Center, 4220, Carolina Exchange Drive, 29579, Carolina Exchange Drive, Myrtle Beach, SC, United States"
