geometry,address
POINT (-91.6691991 35.234135),"West Wilbur Mills Avenue, 72082, Kensett, Arkansas, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-92.546007 35.366546),"Catholic Point Road, 72027, Arkansas, United States"
POINT EMPTY,
POINT (-92.25981647114119 34.723116399999995),"Living Water Baptist Church, 260, Welch Street, 72206, Welch Street, Little Rock, AR, United States"
POINT (-92.2690389277763 34.74638565),"Historic Arkansas Museum, 200, East 3rd Street, 72201, East 3rd Street, Little Rock, AR, United States"
POINT (-92.3720177 34.7501356),"John Barrow Road, 72204, Little Rock, Arkansas, United States"
POINT (-92.33131967144183 34.7369027),"Franklin Elementary School, 1701, South Harrison Street, 72204, South Harrison Street, Little Rock, AR, United States"
POINT (-92.1814103 34.7069318),"Frazier Pike, 72206, Little Rock, Arkansas, United States"
POINT (-92.25952951356649 34.719633900000005),"Jericho Way, 3000, Springer Boulevard, 72206, Springer Boulevard, Little Rock, AR, United States"
POINT (-92.469036 34.7810693),"125, Falata Circle, 72223, Falata Circle, Little Rock, AR, United States"
POINT (-92.270983 34.7531475),"Riverfront Park, 1, Riverfront Drive, 72114, Riverfront Drive, Little Rock, AR, United States"
POINT (-92.2964838 34.7273507),"West 23rd Street, 72206, Little Rock, Arkansas, United States"
POINT (-92.9753976 35.4724427),"Hector Fire Department, AR 27, 72843, AR 27, Hector, AR, United States"
POINT (-107.00882 37.2638949),"Pagosa Springs Post Office, 250, Hot Springs Boulevard, 81147, Hot Springs Boulevard, Pagosa Springs, CO, United States"
POINT (-92.9753976 35.4724427),"Hector Fire Department, AR 27, 72843, AR 27, Hector, AR, United States"
POINT EMPTY,
POINT (-94.03957705 33.4646968),"401, East 42nd Street, 71854, East 42nd Street, Texarkana, AR, United States"
POINT (-92.0917001 34.2752744),"White Hall, 71602, Arkansas, United States"
POINT (-93.1911162 36.0055223),"Clark Street, 72641, Jasper, Arkansas, United States"
POINT (-93.2218435 35.8128578),"Deer Cemetery, County Road 310, 72628, County Road 310, Arkansas, United States"
POINT (-93.4609634 34.2650655),"North Main Street, 71921, Amity, Arkansas, United States"
POINT (-92.621137 33.7268353),"N School, 71720, Bearden, Arkansas, United States"
POINT EMPTY,
POINT (-92.6481311 33.2043249),"South Martin Luther King Boulevard, 71730, El Dorado, Arkansas, United States"
POINT (-93.5846218 33.6801168),"Magnolia Addition, 71802, Hope, Arkansas, United States"
POINT (-93.578602 33.361237),"Chestnut Street, 71845, Lewisville, Arkansas, United States"
POINT (-92.3543624 33.1080001),"Concord Street, 71765, Strong, Arkansas, United States"
POINT (-94.0288985 33.4718809),"Jefferson Avenue, 71854, Texarkana, Arkansas, United States"
POINT (-93.0886316 34.1219997),"Professional Park Drive, 71923, Arkadelphia, Arkansas, United States"
POINT (-94.20848465923078 34.5930032),"136, Health Park Lane, 71953, Health Park Lane, Mena, AR, United States"
POINT (-94.20848465923078 34.5930032),"136, Health Park Lane, 71953, Health Park Lane, Mena, AR, United States"
POINT (-94.3416014 34.0457089),"West Collin Raye Drive, 71832, De Queen, Arkansas, United States"
POINT (-92.9987886 34.6720356),"Hot Springs Village, 71909, Arkansas, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-93.10606473499027 35.2777121),"Arkansas Tire and Auto Service, 2304, East Main Street, 72801, East Main Street, Russellville, AR, United States"
POINT (-94.20848465923078 34.5930032),"136, Health Park Lane, 71953, Health Park Lane, Mena, AR, United States"
POINT (-92.82197542126978 34.3786856),"Arkansas State University Three Rivers, College Circle, 72104, College Circle, Malvern, AR, United States"
POINT (-93.0562635 34.4980676),"Sands Central Inn Hot Springs, Central Avenue, 71901, Central Avenue, Hot Springs National Park, AR, United States"
POINT (-93.0562635 34.4980676),"Sands Central Inn Hot Springs, Central Avenue, 71901, Central Avenue, Hot Springs National Park, AR, United States"
POINT (-94.231851 34.578772),"Mena Street, 71953, Mena, Arkansas, United States"
POINT (-92.8183672 34.3758733),"Main Street, 72104, Malvern, Arkansas, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-93.632995 34.556339),"Whittington Street, 71957, Mount Ida, Arkansas, United States"
POINT EMPTY,
POINT (-91.8467504 34.3198968),"North Edline, 72004, Altheimer, Arkansas, United States"
POINT (-92.02891023463349 34.25109005),"University of Arkansas at Pine Bluff, John Kennedy Drive, 71601, John Kennedy Drive, Pine Bluff, Arkansas, United States"
POINT EMPTY,
POINT (-92.068186 33.62661),"John N Scobey Drive, 71671, Warren, Arkansas, United States"
POINT (-91.8098974 33.5891639),"University of Ark - Monticello, 71656, Monticello, Arkansas, United States"
POINT (-91.7975785 33.2251652),"South Main Street, 71646, Hamburg, Arkansas, United States"
POINT (-91.7948972 33.2082134),"Cub Drive, 71646, Hamburg, Arkansas, United States"
POINT (-91.5109966 33.2398291),"North Main Street, 71663, Portland, Arkansas, United States"
POINT (-92.0553096 33.6109137),"East Church Street, 71671, Warren, Arkansas, United States"
POINT (-92.1891717 33.9588955),"Sycamore Street, 71665, Rison, Arkansas, United States"
POINT (-91.8098974 33.5891639),"University of Ark - Monticello, 71656, Monticello, Arkansas, United States"
POINT (-91.8098974 33.5891639),"University of Ark - Monticello, 71656, Monticello, Arkansas, United States"
POINT EMPTY,
