geometry,address
POINT (-82.179352 41.4691376),"Broadway, 44052, Lorain, Ohio, United States"
POINT (-82.120026 41.445743),"Grove Avenue, 44055, Lorain, Ohio, United States"
POINT (-82.22708070009804 41.2896959),"260, Oak Street, 44074, Oak Street, Oberlin, OH, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-83.61698 41.3563254),"East Gypsy Lane Road, 43402, Bowling Green, Ohio, United States"
POINT (-80.7158257 40.3768847),"Indian Creek High School, 200, Park Drive, 43953, Park Drive, Wintersville, Ohio, United States"
POINT EMPTY,
POINT (-80.6255383 40.3747079),"Capri Sausage and Meatball, 1400, University Boulevard, 43952, University Boulevard, Steubenville, OH, United States"
POINT (-80.6634685 40.3786826),"West Pugliese Elementary School, 435, John Scott Connector, 43952, John Scott Connector, Steubenville, Ohio, United States"
POINT (-80.6150501 40.4533801),"Dennis Way, 43964, Toronto, Ohio, United States"
POINT (-80.5735231 40.6359898),"Saint Clair Avenue, 43920, East Liverpool, Ohio, United States"
POINT (-80.5735231 40.6359898),"Saint Clair Avenue, 43920, East Liverpool, Ohio, United States"
POINT EMPTY,
POINT (-80.8350453 40.6234376),"West Main Street, 43945, Salineville, Ohio, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-81.4119920017992 40.7977169),"El Rincon Canton, Tuscarawas Street West, 44708, Tuscarawas Street West, Canton, OH, United States"
POINT EMPTY,
POINT (-81.189116 39.993556),"Hospital Drive, 43713, Barnesville, Ohio, United States"
POINT (-81.17882346709762 39.9889986),"Barnesville Elementary School, West Main Street, 43713, West Main Street, Barnesville, Ohio, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-81.17882346709762 39.9889986),"Barnesville Elementary School, West Main Street, 43713, West Main Street, Barnesville, Ohio, United States"
POINT (-81.101334 40.8986258),"South Arch Avenue, 44601, Alliance, Ohio, United States"
POINT (-80.64608043129829 41.1056196),"Butler Institute of American Art, Wick Avenue, 44505, Wick Avenue, Youngstown, OH, United States"
POINT (-80.746725 39.974721),"Leona Avenue, 43947, Shadyside, Ohio, United States"
