geometry,address
POINT (-75.1579584689095 39.9227055),"640, Snyder Avenue, 19145, Snyder Avenue, Philadelphia, PA, United States"
POINT (-75.08612735 40.04972665),"800, Unruh Avenue, 19149, Unruh Avenue, Philadelphia, PA, United States"
POINT (-75.2139443639854 39.939596800000004),"Woodland Avenue Health Center, 5000, Woodland Avenue, 19143, Woodland Avenue, Philadelphia, Pennsylvania, United States"
POINT (-75.14653275488547 39.949107749999996),"Science History Institute, 315, Chestnut Street, 19106, Chestnut Street, Philadelphia, PA, United States"
POINT (-75.1471214 39.9606683),"Yards Brewing Company, 500, Spring Garden Street, 19123, Spring Garden Street, Philadelphia, PA, United States"
POINT (-75.06039467473937 40.04362145),"2145, Princeton Avenue, 19149, Princeton Avenue, Philadelphia, PA, United States"
POINT (-75.1819051 39.9559304),"Philadelphia 30th Street Station, Arch Street, 19103, Arch Street, Philadelphia, PA, United States"
POINT (-75.1397347 39.9763772),"Cecil B Moore Avenue, 19121, Philadelphia, Pennsylvania, United States"
POINT (-75.05295617640047 40.089654249999995),"1020, Grant Avenue, 19114, Grant Avenue, Philadelphia, PA, United States"
POINT (-74.9868858575 40.06198635),"4010, Carteret Drive, 19114, Carteret Drive, Philadelphia, PA, United States"
POINT (-75.20148224775978 39.962183100000004),"3939, Warren, 19104, Warren, Philadelphia, Pennsylvania, United States"
POINT (-75.15025666213769 39.9285646),"1523, East Moyamensing Avenue, 19148, East Moyamensing Avenue, Philadelphia, PA, United States"
POINT (-75.135668 39.99121),"Checkers, West Lehigh Avenue, 19132, West Lehigh Avenue, Philadelphia, PA, United States"
POINT (-74.98321753225635 40.061525),"4248, Lyman Drive, 19154, Lyman Drive, Philadelphia, PA, United States"
POINT (-74.97890133716174 40.1002456),"3133, Byberry Road, 19154, Byberry Road, Philadelphia, PA, United States"
POINT EMPTY,
POINT (-75.05155991480831 40.0888669),"1044, Grant Avenue, 19114, Grant Avenue, Philadelphia, PA, United States"
POINT (-75.09617921019517 40.02807195),"4844, Summerdale Avenue, 19124, Summerdale Avenue, Philadelphia, PA, United States"
POINT (-75.21429677412095 40.024927649999995),"4101, Manayunk Avenue, 19127, Manayunk Avenue, Philadelphia, PA, United States"
POINT (-75.22845750285765 39.97613),"Mastery Charter School - Shoemaker Campus, North Peach Street, 19131, North Peach Street, Philadelphia, Pennsylvania, United States"
POINT (-75.23811189346983 39.95590435),"5800, Spruce Street, 19139, Spruce Street, Philadelphia, PA, United States"
POINT (-75.23642083654889 39.9591858),"121, South Cecil Street, 19139, South Cecil Street, Philadelphia, PA, United States"
POINT (-75.14892946262673 39.9363237),"300, Christian Street, 19146, Christian Street, Philadelphia, PA, United States"
POINT (-75.07146394828473 40.047826900000004),"1401, Tyson Avenue, 19135, Tyson Avenue, Philadelphia, PA, United States"
POINT (-74.9739001325519 40.07520015),"202, Greendale Road, 19154, Greendale Road, Philadelphia, PA, United States"
POINT (-75.18459753523945 39.93121135),"2340, Morris Street, 19145, Morris Street, Philadelphia, PA, United States"
POINT (-74.99913000565874 40.056578),"4400, Aubrey Avenue, 19114, Aubrey Avenue, Philadelphia, PA, United States"
POINT (-75.0861758 40.032299),"Saint Martin's Catholic Church, East Cheltenham Avenue, 19124, East Cheltenham Avenue, Philadelphia, PA, United States"
POINT (-75.06069755393965 40.01735185),"4627, Howell Street, 19135, Howell Street, Philadelphia, PA, United States"
POINT (-74.99811149967141 40.05643875),"4415, Aubrey Avenue, 19114, Aubrey Avenue, Philadelphia, PA, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-75.614737 40.390316),"Barto Post Office, Old Route 100, 19505, Old Route 100, Washington Township, PA, United States"
POINT (-75.2715727 39.9653903),"Highland Park, 19082, Upper Darby, Pennsylvania, United States"
POINT EMPTY,
POINT (-75.33379415902888 40.12376615),"Norristown Regional Health Center, 1401, Dekalb Street, 19401, Dekalb Street, Norristown, PA, United States"
POINT EMPTY,
POINT (-75.14158870992098 40.0368481),"Einstein Medical Center Philadelphia, 5501, Old York Road, 19141, Old York Road, Philadelphia, PA, United States"
POINT (-75.07100763210292 40.04567845),"6901, Castor Avenue, 19152, Castor Avenue, Philadelphia, PA, United States"
POINT (-75.0445766631646 40.041579299999995),"3224, Ryan Avenue, 19152, Ryan Avenue, Philadelphia, PA, United States"
POINT (-75.9211396 40.3348907),"Berks Community Health Center, 838, Penn Street, 19602, Penn Street, Reading, Pennsylvania, United States"
POINT (-75.91133173975747 40.357942449999996),"Nativity Lutheran Church, 1501, North 13th Street, 19604, North 13th Street, Reading, PA, United States"
POINT EMPTY,
POINT (-75.91133173975747 40.357942449999996),"Nativity Lutheran Church, 1501, North 13th Street, 19604, North 13th Street, Reading, PA, United States"
POINT EMPTY,
POINT (-75.66354963108552 40.233729100000005),"351, West Schuylkill Road, 19465, West Schuylkill Road, Pottstown, PA, United States"
POINT (-75.66354963108552 40.233729100000005),"351, West Schuylkill Road, 19465, West Schuylkill Road, Pottstown, PA, United States"
POINT (-75.9887273 40.3413696),"Baskin-Robbins, 1, Cheltenham Drive, 19610, Cheltenham Drive, Wyomissing, PA, United States"
POINT (-75.7174867 39.8449274),"West Cypress Street, 19348, Kennett Square, Pennsylvania, United States"
POINT (-81.03057046376733 34.92567955),"Huckle Grove Park, 103, West Black Street, 29730, West Black Street, Rock Hill, SC, United States"
POINT (-75.6261342 40.0114903),"200, Brecknock Terrace, 19380, Brecknock Terrace, West Chester, PA, United States"
POINT (-75.21158184822707 40.6698205),"TNT Fireworks, 102, Cedarville Road, 18042, Cedarville Road, Easton, PA, United States"
POINT (-75.3735231 40.6233434),"Hungarian Evangelical Reformed Church, 635, High Street, 18018, High Street, Bethlehem, PA, United States"
POINT (-75.3710815 40.6219614),"Dr. Jeannine E. Wyke, 260, East Broad Street, 18018, East Broad Street, Bethlehem, PA, United States"
POINT (-75.3831778 40.6102212),"Wells Fargo, 301, Broadway, 18015, Broadway, Bethlehem, PA, United States"
