geometry,address
POINT EMPTY,
POINT (-122.0036176 39.206202),"Fremont Street, 95932, Colusa, California, United States"
POINT (-121.6968729 39.3646439),"Kentucky Street, 95948, Gridley, California, United States"
POINT (-122.011949 39.741587),"Main Street, 95951, Hamilton City, California, United States"
POINT (-121.5518626 39.0806804),"Olivehurst Avenue, 95961, Olivehurst, California, United States"
POINT EMPTY,
POINT (-122.2021857 39.7420853),"Cortina Drive, 95963, Orland, California, United States"
POINT (-121.558175 39.514143),"Lincoln Street, 95965, Oroville, California, United States"
POINT (-121.6094741 39.1229802),"Samuel Drive, 95991, Yuba City, California, United States"
POINT (-121.6169108 39.1404477),"Yuba City, 95991, California, United States"
POINT (-121.6144555 39.1448172),"Market Street, 95991, Yuba City, California, United States"
POINT (-122.3393239 40.5514302),"Bluffside Court, 96002, Redding, California, United States"
POINT EMPTY,
POINT (-121.6169108 39.1404477),"Yuba City, 95991, California, United States"
POINT (-121.6195979 39.1436439),"Del Norte Avenue, 95991, Yuba City, California, United States"
POINT (-121.5768072 39.1257366),"North Beale Road and Feather River Blvd., N Beale Rd, 95901, N Beale Rd, Marysville, CA, United States"
POINT (-121.5768072 39.1257366),"North Beale Road and Feather River Blvd., N Beale Rd, 95901, N Beale Rd, Marysville, CA, United States"
POINT (-121.5768072 39.1257366),"North Beale Road and Feather River Blvd., N Beale Rd, 95901, N Beale Rd, Marysville, CA, United States"
POINT (-121.65713803387783 40.886471400000005),"Caltrans Burney Maintenance Station, Hwy 299 PM 75.6, 96013, Hwy 299 PM 75.6, Burney, California, United States"
POINT EMPTY,
POINT (-122.40409830612786 40.58865615),"1958, 9th Street, 96001, 9th Street, Redding, CA, United States"
POINT (-122.3491135 40.581186),"1201, Dusty Lane, 96002, Dusty Lane, Redding, CA, United States"
POINT EMPTY,
POINT (-121.6546288 40.8835405),"Toronto Avenue, 96013, Burney, California, United States"
POINT (-121.44117792686552 41.00455615),"Fall River Mills, 96028, California, United States"
