geometry,address
POINT (-119.2071142 36.2952195),"S Farmersville Blvd & Oakland St (NB), South Farmersville Boulevard, 93223, South Farmersville Boulevard, Farmersville, CA, United States"
POINT EMPTY,
POINT (-119.8672022 36.7718103),"West Clinton Avenue, 93705, Fresno, California, United States"
POINT EMPTY,
POINT (-119.7320152 36.7795102),"East Shields Avenue, 93726, Fresno, California, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-119.4397724 36.6041477),"East Manning Avenue, 93654, Reedley, California, United States"
POINT (-119.6144528 36.567053),"Whitson Street, 93662, Selma, California, United States"
POINT EMPTY,
POINT (-119.34703887855677 36.355376),"5014, West Oriole Avenue, 93291, West Oriole Avenue, Visalia, CA, United States"
POINT (-119.2657814 36.3318887),"East Oak Avenue, 93292, Visalia, California, United States"
POINT (-119.0982386 36.4173936),"East Lakeview Avenue, 93286, Woodlake, California, United States"
POINT (-119.251132 36.3323883),"East School Avenue, 93292, Visalia, California, United States"
POINT EMPTY,
POINT (-119.7320152 36.7795102),"East Shields Avenue, 93726, Fresno, California, United States"
POINT (-119.8073025 36.7270281),"Merced Street, 93721, Fresno, California, United States"
POINT (-119.4397724 36.6041477),"East Manning Avenue, 93654, Reedley, California, United States"
POINT (-119.4436931 36.5899043),"G Street, 93654, Reedley, California, United States"
POINT (-119.358271 36.3268295),"West Noble Avenue, 93277, Visalia, California, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-119.674768 36.6316855),"East Main Street, 93625, Fowler, California, United States"
POINT (-119.7905439 36.7526456),"North Blackstone Avenue, 93701, Fresno, California, United States"
POINT (-119.7585176 36.7141413),"East Church Avenue, 93725, Fresno, California, United States"
POINT (-119.8757596 36.7717897),"North Milburn Avenue, 93722, Fresno, California, United States"
POINT (-119.7094292 36.7232515),"South Minnewawa Avenue, 93727, Fresno, California, United States"
POINT (-119.8796277 36.8347787),"Señor Ají Peruvian Bistro, 6701 Suite#130, N Milburn Ave, 93722, N Milburn Ave, Fresno, CA, United States"
POINT (-119.8086465 36.7307979),"East Tuolumne Street, 93721, Fresno, California, United States"
POINT (-119.8086465 36.7307979),"East Tuolumne Street, 93721, Fresno, California, United States"
POINT (-119.5559188 36.5125619),"Draper Street, 93631, Kingsburg, California, United States"
POINT (-119.5388622 36.6047955),"East Manning Avenue, 93648, Parlier, California, United States"
POINT (-119.4397724 36.6041477),"East Manning Avenue, 93654, Reedley, California, United States"
POINT (-119.5519753 36.7083358),"Jensen Avenue, 93657, Sanger, California, United States"
POINT (-119.6285797 36.575998),"Highland Avenue, 93662, Selma, California, United States"
POINT (-119.6242574 36.5688032),"Rose Avenue, 93662, Selma, California, United States"
POINT (-119.8847891 36.7935994),"West Ashlan Avenue, 93722, Fresno, California, United States"
POINT (-119.3951153 36.5536075),"North Alta Avenue, 93618, Dinuba, California, United States"
POINT (-119.3951153 36.5536075),"North Alta Avenue, 93618, Dinuba, California, United States"
POINT (-119.5482203 36.51229),"Smith Street, 93631, Kingsburg, California, United States"
POINT (-119.7305356 36.7366017),"Kings Winery Medical Clinic, 4929, East Kings Canyon Road, 93727, East Kings Canyon Road, Fresno, CA, United States"
POINT (-119.8443432 36.7356926),"North Marks Avenue, 93702, Fresno, California, United States"
POINT (-119.7565949 36.8643114),"Slavonian No. 120, North Rowell Avenue, 93720, North Rowell Avenue, Fresno, California, United States"
POINT (-119.71974456209355 36.776006),"Fresno Yosemite International Airport, North Hammel Way, 93702, North Hammel Way, Fresno, CA, United States"
POINT EMPTY,
POINT (-119.2965805 36.3571689),"McDonald's, N Dinuba Blvd, 93291, N Dinuba Blvd, Visalia, CA, United States"
POINT (-119.312247 36.1966937),"East Bardsley Avenue, 93274, Tulare, California, United States"
POINT (-119.3376288097642 36.2274441),"La Quinta Inn & Suites by Wyndham Tulare, 1500, Cherry Court, 93274, Cherry Court, Tulare, CA, United States"
POINT (-119.1974 36.028523),"Road 168, 93258, California, United States"
POINT EMPTY,
POINT (-119.0961655 36.218392),"Sequoia Avenue, 93247, Lindsay, California, United States"
POINT (-119.0881108 36.2079256),"1st Street, 93247, Lindsay, California, United States"
POINT (-119.0871014 36.208926),"2nd Street, 93247, Lindsay, California, United States"
POINT (-119.088173 36.2097332),"3rd Street, 93247, Lindsay, California, United States"
POINT EMPTY,
POINT (-119.0961655 36.218392),"Sequoia Avenue, 93247, Lindsay, California, United States"
POINT (-119.0462921 36.0695181),"West Putnam Avenue, 93257, Porterville, California, United States"
POINT (-119.0462921 36.0695181),"West Putnam Avenue, 93257, Porterville, California, United States"
POINT (-119.0462921 36.0695181),"West Putnam Avenue, 93257, Porterville, California, United States"
POINT (-119.0462921 36.0695181),"West Putnam Avenue, 93257, Porterville, California, United States"
POINT (-119.0584737 36.0686794),"West Cherry Avenue, 93257, Porterville, California, United States"
POINT (-119.20726921242189 34.16769065),"Bldg. 1000, 23rd Avenue, 93043, 23rd Avenue, Port Hueneme, California, United States"
POINT (-119.20726921242189 34.16769065),"Bldg. 1000, 23rd Avenue, 93043, 23rd Avenue, Port Hueneme, California, United States"
POINT EMPTY,
POINT (-119.8339775 36.1894372),"Main Street, 93266, California, United States"
POINT (-119.8339775 36.1894372),"Main Street, 93266, California, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-119.96000612624378 36.009425),"ARIA Community Health Center, 304, Becky Pease Street, 93239, Becky Pease Street, Kettleman City, CA, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-119.13064605035947 35.3999197),"4341, Range Drive, 93312, Range Drive, Bakersfield, CA, United States"
POINT EMPTY,
POINT (-119.11412365766606 35.33406),"2307, Snowdrop Drive, 93311, Snowdrop Drive, Bakersfield, CA, United States"
POINT (-119.230121 35.771805),"11th Avenue, 93215, Delano, California, United States"
POINT EMPTY,
POINT (-118.9854052 35.3519328),"South Dr. Martin Luther King, Jr. Blvd, 93307, Bakersfield, California, United States"
POINT (-119.08921383229098 35.408591900000005),"7800, Carol Sue Court, 93308, Carol Sue Court, Bakersfield, CA, United States"
POINT (-119.0254369398576 35.3697439),"Bakersfield High School, Campus Way, 93301, Campus Way, Bakersfield, California, United States"
POINT (-119.0021024 35.3812449),"Union Avenue Loop, 93301, Bakersfield, California, United States"
POINT EMPTY,
POINT (-119.221925 35.678074),"East Kern Avenue, 93520, McFarland, California, United States"
POINT (-118.977322 35.386625),"East Bakersfield, 93305, California, United States"
POINT (-118.9852255 35.3684188),"East California Avenue, 93301, Bakersfield, California, United States"
POINT (-119.247156 35.755921),"Diaz Avenue, 93215, Delano, California, United States"
POINT (-119.0457251 36.0801106),"Big 5 Sporting Goods, West Henderson Avenue, 93257, West Henderson Avenue, Porterville, CA, United States"
POINT (-119.04274048037348 36.05074855),"Family HealthCare Network, 1107, West Poplar Avenue, 93257, West Poplar Avenue, Porterville, CA, United States"
POINT (-119.2919004 35.9674601),"Center Street, 93256, Pixley, California, United States"
POINT (-119.0455333 36.0514727),"West Poplar Avenue, 93257, Porterville, California, United States"
POINT (-119.017095 36.0665824),"North Hockett Street, 93257, Porterville, California, United States"
POINT (-119.0327809 36.1456575),"Avenue 196, 93267, Strathmore, California, United States"
POINT (-119.0750687 35.9642754),"East Terra Bella Avenue, 93270, California, United States"
POINT (-119.689922 35.6140134),"Tulare Street, 93249, Lost Hills, California, United States"
POINT (-119.3699694 36.2068652),"West Tulare Avenue, 93274, Tulare, California, United States"
POINT (-119.6629835 36.3280022),"Campus Drive, 93230, Hanford, California, United States"
POINT (-119.0961655 36.218392),"Sequoia Avenue, 93247, Lindsay, California, United States"
POINT (-119.0911169 36.2107454),"North Mirage Avenue, 93247, Lindsay, California, United States"
POINT (-119.2452342 35.7731738),"Jefferson Street, 93215, Delano, California, United States"
POINT (-119.24214287556202 35.7509411),"Caltrans Delano Maintenance Station, 805 South Lexington, 93215, 805 South Lexington, Delano, California, United States"
POINT (-119.2525184 35.7780721),"Fremont Street, 93215, Delano, California, United States"
POINT (-119.7244696 35.6158681),"Paso Robles Highway, 93249, Lost Hills, California, United States"
POINT (-119.27479109344122 35.50214525),"Shafter Town Square, 320, Central Avenue, 93263, Central Avenue, Shafter, CA, United States"
POINT (-119.26559694244418 35.4950673),"Medical Dental Pharmacy, 655, South Central Valley Highway, 93263, South Central Valley Highway, Shafter, CA, United States"
POINT (-119.2648950909512 35.49486655),"Behavioral Health || Walk-In, 659, South Central Valley Highway, 93263, South Central Valley Highway, Shafter, CA, United States"
POINT (-119.404088 35.409962),"Elrod Road, 93206, Buttonwillow, California, United States"
POINT EMPTY,
POINT (-119.0791711 35.3353344),"Ming Avenue, 93309, Bakersfield, California, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-119.5597323 36.0959544),"Chittenden Avenue, 93212, Corcoran, California, United States"
POINT (-119.2816121 35.8827617),"West Washington Avenue, 93219, Earlimart, California, United States"
POINT (-119.672853 36.3229089),"Mall Drive, 93230, Hanford, California, United States"
POINT (-117.9629417 35.1333938),"North Loop Boulevard, 93505, California City, California, United States"
POINT (-117.9629417 35.1333938),"North Loop Boulevard, 93505, California City, California, United States"
POINT (-116.0543506 34.1356915),"Twentynine Palms, 92278, California, United States"
POINT (-116.0543506 34.1356915),"Twentynine Palms, 92278, California, United States"
POINT (-116.4070998 34.1291217),"Yucca Valley Airport, Sunnyslope Drive, 92284, Sunnyslope Drive, Yucca Valley, CA, United States"
