geometry,address
POINT EMPTY,
POINT (-88.231988 34.6389829),"Tishomingo Pentecostal Church, Main Street, 38873, Main Street, Tishomingo, MS, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-90.2752139 34.2503617),"Martin Luther King Junior Drive, 38646, Marks, Mississippi, United States"
POINT EMPTY,
POINT (-89.93855108299078 34.3291284),"Saint Mary Catholic Church, Highway 35 North, 38606, Highway 35 North, Batesville, MS, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-90.5747366 34.202799),"Hambone, East 2nd Street, 38614, East 2nd Street, Clarksdale, MS, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-90.4616675 32.3611062),"I-20, 39041, Bolton, Mississippi, United States"
POINT (-90.31214298076094 32.190325900000005),"Byram Middle School, 2009, Byram Bulldog Boulevard, 39170, Byram Bulldog Boulevard, Terry, MS, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-90.1951172 32.3296007),"TAMAR Counseling Group, 350, West Woodrow Wilson Avenue, 39213, West Woodrow Wilson Avenue, Jackson, MS, United States"
POINT (-90.60981 32.337168),"Magnolia Street, 39066, Edwards, Mississippi, United States"
POINT EMPTY,
POINT (-90.1927148 32.2976325),"J R Lynch Street, 39203, Jackson, Mississippi, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-90.8804233 32.3162224),"Ramada Vicksburg, 20, Orme Drive, 39180, Orme Drive, Vicksburg, MS, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-90.2217652 32.3178282),"Capitol & Claiborne Ave, West Capitol Street, 39203, West Capitol Street, Jackson, MS, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-90.3029323 32.0945728),"Terry High School, 235, W Beasley Street, 39170, W Beasley Street, Terry, MS, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-90.21996629060129 32.31991925),"Jackson Zoological Park, West Capitol Street, 39203, West Capitol Street, Jackson, MS, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-90.70908845480542 33.7626971),"548, East Rosemary Road, 38732, East Rosemary Road, Cleveland, MS, United States"
POINT (-90.73786361007666 33.880407250000005),"Delta Health Center, 702, Martin Luther King Drive, 38762, Martin Luther King Drive, Mound Bayou, MS, United States"
POINT EMPTY,
POINT (-90.499877 33.450614),"Ingram Street, 38761, Moorhead, Mississippi, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-90.73786361007666 33.880407250000005),"Delta Health Center, 702, Martin Luther King Drive, 38762, Martin Luther King Drive, Mound Bayou, MS, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-90.8539887 33.1695664),"Hollandale Baptist Church, East Avenue North, 38748, East Avenue North, Hollandale, MS, United States"
POINT (-90.724685675 33.83935155),"102, North Dr Martin L King Jr Dr, 38759, North Dr Martin L King Jr Dr, Merigold, MS, United States"
POINT (-91.052892 32.902088),"Court Street, 39113, Mayersville, Mississippi, United States"
POINT EMPTY,
POINT (-88.6968796 34.2589398),"Tupelo Automobile Museum, 1, Otis Boulevard, 38801, Otis Boulevard, Tupelo, MS, United States"
POINT (-90.0495267 33.1264292),"MS 17, 39095, Lexington, Mississippi, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-90.0495267 33.1264292),"MS 17, 39095, Lexington, Mississippi, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-113.43177892305538 53.47079206438979),"3562, 61 Street NW, T6L 5C3, 61 Street NW, Edmonton, Alberta, Canada"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-90.3875721 32.8413776),"Jerry Clower Blvd N, 39194, Yazoo City, Mississippi, United States"
POINT (-90.3875721 32.8413776),"Jerry Clower Blvd N, 39194, Yazoo City, Mississippi, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-87.479732 31.025247),"Martin Luther King Drive, 36504, Atmore, Alabama, United States"
POINT EMPTY,
POINT (-90.4125915 32.8501327),"Trinity Episcopal Church, North Main Street, 39194, North Main Street, Yazoo City, MS, United States"
POINT (-90.411269 32.865827),"Doctor Martin Luther King Junior Drive, 39194, Yazoo City, Mississippi, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-91.3970596 31.5640553),"Carpenter Number 1 Elementary School, North Union Street, 39120, North Union Street, Natchez, MS, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-90.1837599 32.3268752),"East Woodrow Wilson Avenue, 39216, Jackson, Mississippi, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-90.4408691 31.5830727),"Brookhaven, North Railroad Avenue, 39601, North Railroad Avenue, Brookhaven, MS, United States"
POINT (-89.82281844279117 31.25032285),"Columbia Marion Library, 1/2 Broad St, 39429, 1/2 Broad St, Columbia, MS, United States"
POINT (-89.799715 32.324566),"N Brooks Avenue, 39145, Pelahatchie, Mississippi, United States"
POINT EMPTY,
POINT (-90.0074892969431 32.2831707),"Bldg D, West Government Street, 39042, West Government Street, Brandon, MS, United States"
POINT EMPTY,
POINT (-90.1111803 31.5554771),"Family Health Care Clinic, 430, West Broad Street, 39654, West Broad Street, monticello, MS, United States"
POINT (-90.0968299 32.2816239),"Pearl Upper Elementary School, U.S. Highway 80, 39208, U.S. Highway 80, Pearl, MS, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-90.0968299 32.2816239),"Pearl Upper Elementary School, U.S. Highway 80, 39208, U.S. Highway 80, Pearl, MS, United States"
POINT (-90.0968299 32.2816239),"Pearl Upper Elementary School, U.S. Highway 80, 39208, U.S. Highway 80, Pearl, MS, United States"
POINT (-90.0968299 32.2816239),"Pearl Upper Elementary School, U.S. Highway 80, 39208, U.S. Highway 80, Pearl, MS, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-89.34890703848438 31.360179350000003),"Dandy Dan's, US 49, 39404, US 49, Hattiesburg, MS, United States"
POINT (-89.85504869907456 31.5812283),"Prentiss Middle School, 150, J E Johnson Avenue, 39474, J E Johnson Avenue, Prentiss, MS, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-88.75599125700543 30.40686505),"18, Davis Bayou Circle, 39564, Davis Bayou Circle, Ocean Springs, MS, United States"
POINT EMPTY,
POINT (-89.1280253 31.6923432),"Laurel, North Maple Street, 39440, North Maple Street, Laurel, MS, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-88.6801153 32.7808712),"Kemper Family Medical Clinic, 201, Birch Street, 39328, Birch Street, De Kalb, Mississippi, United States"
POINT EMPTY,
POINT EMPTY,
