geometry,address
POINT (-98.49658076914378 33.9271266),"804, Corwin Street, 76306, Corwin Street, Wichita Falls, TX, United States"
POINT EMPTY,
POINT (-98.487719 33.84430825),"110, Rathgeber Road, 76310, Rathgeber Road, Wichita Falls, TX, United States"
POINT (-98.52455040917728 33.884313250000005),"Cinemark, 2915, Glenwood Avenue, 76308, Glenwood Avenue, Wichita Falls, TX, United States"
POINT EMPTY,
POINT (-98.5239633 33.8903797),"Weeks House, Avenue L, 76309, Avenue L, Wichita Falls, TX, United States"
POINT (-98.49101770599975 33.9202028),"Community Healthcare Center, 200, Martin Luther King Jr. Boulevard, 76301, Martin Luther King Jr. Boulevard, Wichita Falls, TX, United States"
POINT EMPTY,
POINT (-101.8358687967623 35.2089658),"Amarillo National Bank Plaza 1, South Taylor Street, 79101, South Taylor Street, Amarillo, TX, United States"
POINT (-101.83747803911805 35.18462475),"2700, South Pierce Street, 79109, South Pierce Street, Amarillo, TX, United States"
POINT EMPTY,
POINT (-94.77808053921976 29.3358928),"Seawolf Park, 100, Seawolf Parkway, 77550, Seawolf Parkway, Galveston, TX, United States"
POINT (-95.0028386 29.393343),"Texas City Fire Department Station 3, North Amburn Road, 77591, North Amburn Road, Texas City, TX, United States"
POINT (-95.0028386 29.393343),"Texas City Fire Department Station 3, North Amburn Road, 77591, North Amburn Road, Texas City, TX, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-93.9345663 29.8680309),"Jefferson County Sheriff's Office, Lakeshore Drive, 77640, Lakeshore Drive, Port Arthur, TX, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-95.3748565 29.2004149),"4501 Angleton to Danbury, East Mulberry Street, 77515, East Mulberry Street, Angleton, TX, United States"
POINT (-94.9845217 29.505555),"Bacliff Washateria, Grand Avenue, 77518, Grand Avenue, Bacliff, TX, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-95.4003514681078 29.022215250000002),"Clute Intermediate School, 421, East Main Street, 77531, East Main Street, Clute, TX, United States"
POINT EMPTY,
POINT (-94.84381365 29.2770209),"4, Backbay Circle, 77551, Backbay Circle, Galveston, TX, United States"
POINT (-95.09500049036455 29.5080155),"Starbucks, 100, East Main Street, 77573, East Main Street, League City, TX, United States"
POINT (-95.434167 29.040256),"Winding Way, 77566, Lake Jackson, Texas, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-95.45798325 29.0421137),"Lake Jackson Endodontics, Abner Jackson Parkway, 77566, Abner Jackson Parkway, Lake Jackson, TX, United States"
POINT EMPTY,
POINT (-97.900453 28.899595),"North Panna Maria Avenue, 78118, Karnes City, Texas, United States"
POINT (-98.18142171906207 28.46077115),"105, East Thornton Street, 78071, East Thornton Street, Three Rivers, TX, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-97.70982080023118 26.19095895),"1302, West Harrison Avenue, 78550, West Harrison Avenue, Harlingen, TX, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-97.97264431940889 29.57860575),"Salazar Grocery, 1104, Avenue D, 78155, Avenue D, Seguin, TX, United States"
POINT (-98.3308492 26.2936818),"KIRT-AM (Mission), South Los Ebanos Boulevard, 78571, South Los Ebanos Boulevard, Alton, TX, United States"
POINT EMPTY,
POINT (-106.4874529 31.753328),"700, South El Paso Street, 79901, South El Paso Street, El Paso, TX, United States"
POINT (-106.4959195 31.7573731),"El Paso, West Paisano Drive, 79901, West Paisano Drive, El Paso, TX, United States"
POINT (-106.4959195 31.7573731),"El Paso, West Paisano Drive, 79901, West Paisano Drive, El Paso, TX, United States"
POINT EMPTY,
POINT (-106.39256361901732 31.7449921),"Hidden Valley Park, 200, Coconut Tree Lane, 79915, Coconut Tree Lane, El Paso, TX, United States"
POINT EMPTY,
