geometry,address
POINT EMPTY,
POINT EMPTY,
POINT (-84.265366 37.738601),"Highland Park Drive, 40475, Richmond, Kentucky, United States"
POINT (-85.76189631100948 38.189463),"103, West Southern Heights Avenue, 40214, West Southern Heights Avenue, Louisville, KY, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-84.59315585798768 37.89876725),"101, Derby Drive, 40356, Derby Drive, Nicholasville, KY, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-84.17972667038545 37.9889761),"Saint Agatha Catholic School, South Main Street, 40391, South Main Street, Winchester, KY, United States"
POINT EMPTY,
POINT (-84.27157164713115 38.1942322),"Bourbon County High School, 3341, Lexington Road, 40361, Lexington Road, Paris, KY, United States"
POINT (-84.27381373712095 38.19401765),"Bourbon County Middle School, 3339, Lexington Road, 40361, Lexington Road, Paris, KY, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-83.95816639524526 38.062030699999994),"Mapleton Elementary School, 809, Indian Mound Drive, 40353, Indian Mound Drive, Mount Sterling, KY, United States"
POINT EMPTY,
POINT (-83.938378 38.040941),"Indian Mound Drive, 40353, Mount Sterling, Kentucky, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-83.91261357690149 38.06091965),"Mt Sterling Elementary, 6601, Indian Mound Drive, 40353, Indian Mound Drive, Mount Sterling, KY, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-83.84554547497973 37.844268150000005),"Parts City Auto Parts, 700, East College Avenue, 40380, East College Avenue, Stanton, KY, United States"
POINT (-83.870753 37.845915),"Stanton Ranger Station, West College Avenue, 40380, West College Avenue, Stanton, KY, United States"
POINT (-83.8613638 37.8521434),"Stanton Elementary School, Breckinridge Street, 40380, Breckinridge Street, Stanton, KY, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-83.9421324 38.0562127),"Oopsie Daisies, 2, West Main Street, 40353, West Main Street, Mount Sterling, KY, United States"
POINT EMPTY,
POINT EMPTY,
POINT (-76.98109765954919 38.86621875),"Bread for the City, 1700, Good Hope Road Southeast, 20020-4706, Good Hope Road Southeast, Washington, DC, United States"
POINT (-77.01432232747317 38.81292645),"4, DC Village Lane Southwest, 20032, DC Village Lane Southwest, Washington, District of Columbia, United States"
POINT (-77.0697566 38.918358),"2115 Wisconsin Ave NW, Wisconsin Avenue Northwest, 20007, Wisconsin Avenue Northwest, Washington, DC, United States"
POINT EMPTY,
POINT EMPTY,
POINT EMPTY,
POINT (-76.9339221463195 38.91167735),"1627, Kenilworth Avenue Northeast, 20019, Kenilworth Avenue Northeast, Washington, DC, United States"
