,0
0,"3900 Calhoun St Gary, IN 46408-1753"
1,"3503 Martin Luther King Dr Gary, IN 46409-1233"
2,"5926 Calumet Ave Hammond, IN 46320-2505"
3,"6100 Broadway Merrillville, IN 46410-3002"
4,"1015 N Shelby St Gary, IN 46403-1446"
5,"5927 Columbia Ave Hammond, IN 46320-2611"
6,"6915 Grand Ave Hammond, IN 46323-2587"
7,"2401 Valley Dr Valparaiso, IN 46383-2520"
8,"1313 W Chicago Ave East Chicago, IN 46312-3316"
9,"710 Franklin St Michigan City, IN 46360-3563"
10,"1001 Sturdy Rd Valparaiso, IN 46383-4126"
11,"701 Wall St Valparaiso, IN 46383-2514"
12,"2323 Broadway St East Chicago, IN 46312-2264"
13,"1 Valparaiso, IN 46385"
14,"400 Teegarden St Laporte, IN 46350-3175"
15,"1001 Sturdy Rd Valparaiso, IN 46383-4126"
16,"1008 Broadway Chesterton, IN 46304-2149"
17,"801 Broadway Chesterton, IN 46304-2230"
18,"407 W Indiana Ave Chesterton, IN 46304-2350"
19,"168 Chesterton, IN 46304-2243"
20,"10851 Broadway Crown Point, IN 46307-7303"
21,"3099 Central Ave Lake Station, IN 46405-2207"
22,"3304 Parkside Ave Lake Station, IN 46405-1143"
23,"2490 Central Ave Lake Station, IN 46405-2122"
24,"714 Lincolnway Laporte, IN 46350-3353"
25,"602 F St La Porte, IN 46350-5526"
26,"6091 Broadway Merrillville, IN 46410-2619"
27,"6050 Sterling Creek Rd Portage, IN 46368-7752"
28,"1 Hobart, IN 46342-1061"
29,"41 Schererville, IN 46375-1317"
30,"9825 Wicker Ave Side Saint John, IN 46373-9413"
31,"6 Portage, IN 46368-5110"
32,"115 Gary, IN 46409-1040"
33,"2 Hebron, IN 46341-8801"
34,"3176 Lancer St STE B Portage, IN 46368-4408"
35,"104 Gary, IN 46409-1041"
36,"527 State St Hammond, IN 46320-1533"
37,"4022 Hohman Ave Hammond, IN 46327-1239"
38,"559 State St Hammond, IN 46320-1533"
39,"8555 Taft St Merrillville, IN 46410-6123"
40,"3903 Indianapolis Blvd East Chicago, IN 
46312-2555"
41,"211 East Chicago, IN 46312-3076"
42,"100 W Chicago Ave East Chicago, IN 46312-3260"
43,"208 East Chicago, IN 46312-8410"
44,"100 W Chicago Ave STE F East Chicago, IN 46312-3261"
45,"5 Munster, IN 46321-2917"
46,"2 Crown Point, IN 46307-6611"
47,"216 East Chicago, IN 46312-3076"
48,"307 East Chicago, IN 46312-3078"
49,"408 East Chicago, IN 46312-3078"
50,"9126 Columbia Ave Munster, IN 46321-2907"
51,"9130 Columbia Ave STE A Munster, IN 46321-2932"
52,"407 Hobart, IN 46342-6791"
53,"219 Health Network Inc. 
13963"
54,"8141 Kennedy Ave Highland, IN 46322-1128"
55,"426 S Lake St Gary, IN 46403-2405"
56,"3535 Broadway Gary, IN 46409-1316"
57,"1212 N Broad St Griffith, IN 46319-1534"
58,"1002 S Esther St South Bend, IN 46615-1440"
59,"1960 Northside Blvd South Bend, IN 46615-1630"
60,"106 Knox, IN 46534-2241"
61,"402 South Bend, IN 46601-1074"
62,"143 Hamlet, IN 46532-9524"
63,"1708 High St South Bend, IN 46613-2633"
64,"236 Simpson Ave Elkhart, IN 46516-4666"
65,"148 W Hively Ave Elkhart, IN 46517-2191"
66,"2100 Superior St Elkhart, IN 46516-4704"
67,"1545 Cassopolis St Elkhart, IN 46514-3128"
68,"415 E Madison St South Bend, IN 46617-2322"
69,"1901 W Western Ave STE B South Bend, IN 46619-3570"
70,"1010 N Bendix Dr South Bend, IN 46628-1925"
71,"1803 Smith St Logansport, IN 46947-1576"
72,"1700 Dividend Dr Logansport, IN 46947-1572"
73,"765 S Michigan St South Bend, IN 46601-3101"
74,"661 E Main St Peru, IN 46970-2662"
75,"215 Middlebury St Goshen, IN 46528-2956"
76,"213 Middlebury St Goshen, IN 46528-2956"
77,"504 Legacy Plz W Laporte, IN 46350-5254"
78,"508 Legacy Plz W Laporte, IN 46350-5254"
79,"1002 S Edgewood Dr Knox, IN 46534-8226"
80,"1002 S Edgewood Dr Knox, IN 46534-8226"
81,"2219 Dubois Dr Warsaw, IN 46580-3212"
82,"1150 S Main St Dunkirk, IN 47336-9701"
83,"1 Fort Wayne, IN 46805-5410"
84,"300 Bluffton, IN 46714-2503"
85,"931 W Water St Ste A Portland, IN 47371-1755"
86,"730 W Washington St Winchester, IN 47394-1425"
87,"500 W Votaw St Portland, IN 47371-1322"
88,"1717 S Calhoun St Fort Wayne, IN 46802-5257"
89,"1721 S Calhoun St Fort Wayne, IN 46802-5257"
90,"3350 E Paulding Rd Fort Wayne, IN 46816-4513"
